model,model_group,label_source,enc_sex_auroc,enc_race_black_white_auroc,enc_age_r2,enc_bmi_r2
ResNet50-ImageNet,clean,impression_fixed.json,0.928469177128022,0.8153287496927806,0.5365033800200156,0.4226215425457379
DINOv2-base,clean,impression_fixed.json,0.9676062643917354,0.8648441440984411,0.6264364435311318,0.48273051981680215
BiomedCLIP,clean,impression_fixed.json,0.9368077306228413,0.7839927538296548,0.5185103789961742,0.4666109396922917
XRV-DenseNet-nih,clean,impression_fixed.json,0.8716510292766189,0.6967848651682158,0.3341266940871098,0.4137826592761461
CLIP-ViT-B16,clean,impression_fixed.json,0.9015100131588649,0.7858572273414521,0.47804874374346207,0.43799532340452696
ConvNeXtV2-Base,clean,impression_fixed.json,0.9523803095079852,0.8344573530012451,0.5788258573593946,0.4630042736909452
RAD-DINO,overlap,impression_fixed.json,0.9981882286801891,0.9176644976183401,0.7960717972313213,0.5029453876516607
CheXzero,overlap,impression_fixed.json,0.9244958036632025,0.7980441579044943,0.5500725936782302,0.46421382197252326
