model,model_group,mean_finding_auroc,race_dependence_mean_drop,race_gap_mean,race_gap_drop_ratio
ResNet50-ImageNet,clean,0.791003062657363,-0.00041575479897292266,0.04981645744095033,49816457.44095033
DINOv2-base,clean,0.8367609423418774,0.0005527365497514425,0.05091027460882229,92.1058588069052
BiomedCLIP,clean,0.8539880240438362,0.0006267136132081297,0.0563745748232807,89.95268913132556
XRV-DenseNet-nih,clean,0.7944564015366992,-0.00015834462323324194,0.058455362136112285,58455362.13611228
CLIP-ViT-B16,clean,0.8121691370862628,0.0004839858084269455,0.0701825607347398,145.00954266169026
ConvNeXtV2-Base,clean,0.8274105358303908,0.001103827844487082,0.06016807210354026,54.50856526589859
RAD-DINO,overlap,0.8866458824396848,0.0004732404160670112,0.05753947546495932,121.58613996487504
CheXzero,overlap,0.8728296875050375,0.0003800820968155816,0.04300896563091926,113.15704157406682
