model,label_source,finding,n_groups,gap_maxmin,auroc_White,auroc_Asian,auroc_Other,auroc_Black
CheXzero,impression_fixed.json,Atelectasis,3,0.04445327339028626,0.8415487407084046,0.8436285097192224,0.8860020140986908,
CheXzero,impression_fixed.json,Cardiomegaly,4,0.03261254874158104,0.9316749097189513,0.9276360815805081,0.9490889653249047,0.9602486303220892
CheXzero,impression_fixed.json,Consolidation,4,0.04804565841589148,0.9558999593313744,0.9485255356755249,0.9652596704574897,0.9172140120415982
CheXzero,impression_fixed.json,Edema,4,0.018568101847848517,0.8958846569817758,0.9117928016763219,0.8950712246497936,0.8932246998284734
CheXzero,impression_fixed.json,Enlarged Cardiomediastinum,4,0.03852722410462872,0.8555752318309546,0.8870441322548602,0.8485169081502315,0.8819573283858998
CheXzero,impression_fixed.json,Lung Opacity,4,0.055481978892692685,0.8567123280635254,0.9007823096299167,0.8553652000529098,0.845300330737224
CheXzero,impression_fixed.json,Pleural Effusion,4,0.012221003603349323,0.9550151144343328,0.9633571872111715,0.9598153454065019,0.9511361836078221
CheXzero,impression_fixed.json,Pneumonia,4,0.08143384393384401,0.8710132607956479,0.8176046176046176,0.8990384615384616,0.8391812865497075
CheXzero,impression_fixed.json,Pneumothorax,4,0.05821015285354647,0.7905260571729862,0.7967938019836909,0.8188957490801106,0.8487362100265327
CheXzero,impression_fixed.json,Support Devices,4,0.0405358705255241,0.761721776626272,0.7456091180866966,0.7417551640305134,0.721185906100748
