model,model_group,label_source,finding,n_groups,gap_maxmin,auroc_White,auroc_Asian,auroc_Other,auroc_Black
CLIP-ViT-B16,clean,impression_fixed.json,Cardiomegaly,4,0.019832985303869233,0.8456836826817398,0.8297440343112652,0.8495770196151344,0.8474313932633957
CLIP-ViT-B16,clean,impression_fixed.json,Consolidation,4,0.026371485099956682,0.8968661296748169,0.905681829927543,0.9046542780439132,0.8793103448275863
CLIP-ViT-B16,clean,impression_fixed.json,Edema,4,0.014935740967950029,0.8533672256258498,0.849963022309873,0.8422160752234861,0.8384314846578997
CLIP-ViT-B16,clean,impression_fixed.json,Enlarged Cardiomediastinum,4,0.029851212527529536,0.8094198581676038,0.796970341989499,0.8005212432425458,0.7795686456400742
CLIP-ViT-B16,clean,impression_fixed.json,Lung Opacity,4,0.06747821652508734,0.7850939594098089,0.8525721759348962,0.7994718818739864,0.7984281091077208
CLIP-ViT-B16,clean,impression_fixed.json,Pleural Effusion,4,0.009182771896470987,0.8922000932187093,0.9013828651151803,0.8988003705600225,0.8932627997162124
CLIP-ViT-B16,clean,impression_fixed.json,Pneumonia,4,0.20340113103271007,0.7735634138048283,0.7116883116883117,0.7925824175824177,0.5891812865497076
CLIP-ViT-B16,clean,impression_fixed.json,Pneumothorax,4,0.08859745718547896,0.7397226098442655,0.7569096755810641,0.7726997970726652,0.8283200670297445
CLIP-ViT-B16,clean,impression_fixed.json,Support Devices,4,0.0330339483329265,0.7058519304564066,0.7019494270054808,0.7130375529107403,0.6800036045778138
ConvNeXtV2-Base,clean,impression_fixed.json,Atelectasis,3,0.1358820599487992,0.7506760279869523,0.7473002159827213,0.8831822759315205,
ConvNeXtV2-Base,clean,impression_fixed.json,Cardiomegaly,4,0.05252679121216919,0.8691327131417805,0.8402267646119452,0.8927535558241144,0.8819005970075916
ConvNeXtV2-Base,clean,impression_fixed.json,Consolidation,4,0.044992213949709536,0.9184619997344089,0.9041727392063836,0.9219307288192589,0.8769385148695493
ConvNeXtV2-Base,clean,impression_fixed.json,Edema,4,0.026195839846595903,0.8692484999694574,0.8878548831094129,0.8646657692705944,0.861659043262817
ConvNeXtV2-Base,clean,impression_fixed.json,Enlarged Cardiomediastinum,4,0.046767989870709736,0.8216431775461962,0.8069391230310771,0.8251770807798006,0.7784090909090908
ConvNeXtV2-Base,clean,impression_fixed.json,Lung Opacity,4,0.07927313886296294,0.8015321478833453,0.8642583801588839,0.8180001077792094,0.784985241295921
ConvNeXtV2-Base,clean,impression_fixed.json,Pleural Effusion,4,0.018864184732572453,0.9177261218959447,0.9204744809267416,0.9260959469020322,0.9072317621694598
ConvNeXtV2-Base,clean,impression_fixed.json,Pneumonia,4,0.08334092807777016,0.7427575654539272,0.8216450216450217,0.779532967032967,0.7383040935672516
ConvNeXtV2-Base,clean,impression_fixed.json,Pneumothorax,4,0.08646334942940537,0.780272994038672,0.770511933352329,0.7813709828303328,0.8569752827817344
ConvNeXtV2-Base,clean,impression_fixed.json,Support Devices,4,0.027374225104708105,0.7098190359814902,0.7371932610861983,0.723859351269569,0.7234387672343876
RAD-DINO,overlap,impression_fixed.json,Atelectasis,3,0.19048175239636422,0.8574096305188743,0.676889848812095,0.8673716012084592,
RAD-DINO,overlap,impression_fixed.json,Cardiomegaly,4,0.028398222665230066,0.9365231001727116,0.9333736369028608,0.9494794087570885,0.9617718595680909
RAD-DINO,overlap,impression_fixed.json,Consolidation,4,0.03968564725060186,0.9550751747090949,0.9512129575077263,0.9541077049442402,0.915389527458493
RAD-DINO,overlap,impression_fixed.json,Edema,4,0.020582322427809774,0.8933835173716831,0.909569004478409,0.8889866820505993,0.8972269868496284
RAD-DINO,overlap,impression_fixed.json,Enlarged Cardiomediastinum,4,0.020585258407326168,0.8760408250978602,0.8900241237405988,0.8738952610731934,0.8944805194805195
RAD-DINO,overlap,impression_fixed.json,Lung Opacity,4,0.03952765059906993,0.8547515588564619,0.8942792094555319,0.8692246265695347,0.8734307763433978
RAD-DINO,overlap,impression_fixed.json,Pleural Effusion,4,0.016452603977624936,0.9485567422941623,0.9650093462717872,0.9540888640459056,0.9519076450450822
RAD-DINO,overlap,impression_fixed.json,Pneumonia,4,0.0975696817802082,0.8783917035022101,0.8958152958152958,0.8534798534798534,0.7982456140350876
RAD-DINO,overlap,impression_fixed.json,Pneumothorax,4,0.065832656225563,0.8494305751667006,0.8530583031437837,0.8629233049810745,0.9152632313922636
RAD-DINO,overlap,impression_fixed.json,Support Devices,4,0.056278958919795063,0.8292464069041341,0.7757536123567516,0.772967447984339,0.8248175182481753
CheXzero,overlap,impression_fixed.json,Atelectasis,3,0.04445327339028626,0.8415487407084046,0.8436285097192224,0.8860020140986908,
CheXzero,overlap,impression_fixed.json,Cardiomegaly,4,0.03261254874158104,0.9316749097189513,0.9276360815805081,0.9490889653249047,0.9602486303220892
CheXzero,overlap,impression_fixed.json,Consolidation,4,0.04804565841589148,0.9558999593313744,0.9485255356755249,0.9652596704574897,0.9172140120415982
CheXzero,overlap,impression_fixed.json,Edema,4,0.018568101847848517,0.8958846569817758,0.9117928016763219,0.8950712246497936,0.8932246998284734
CheXzero,overlap,impression_fixed.json,Enlarged Cardiomediastinum,4,0.03852722410462872,0.8555752318309546,0.8870441322548602,0.8485169081502315,0.8819573283858998
CheXzero,overlap,impression_fixed.json,Lung Opacity,4,0.055481978892692685,0.8567123280635254,0.9007823096299167,0.8553652000529098,0.845300330737224
CheXzero,overlap,impression_fixed.json,Pleural Effusion,4,0.012221003603349323,0.9550151144343328,0.9633571872111715,0.9598153454065019,0.9511361836078221
CheXzero,overlap,impression_fixed.json,Pneumonia,4,0.08143384393384401,0.8710132607956479,0.8176046176046176,0.8990384615384616,0.8391812865497075
CheXzero,overlap,impression_fixed.json,Pneumothorax,4,0.05821015285354647,0.7905260571729862,0.7967938019836909,0.8188957490801106,0.8487362100265327
CheXzero,overlap,impression_fixed.json,Support Devices,4,0.0405358705255241,0.761721776626272,0.7456091180866966,0.7417551640305134,0.721185906100748
