model,model_group,finding,dimension,group,n,auroc,ece,sensitivity,specificity,fpr,fnr
BiomedCLIP,clean,Edema,Gender,Female,4298,0.8817158665641701,0.011993278195666847,0.7981900452488688,0.8056968463886063,0.19430315361139372,0.20180995475113117
BiomedCLIP,clean,Edema,Gender,Male,5688,0.8890596778258496,0.008769898849513708,0.8106203007518797,0.8114525139664804,0.18854748603351956,0.18937969924812026
BiomedCLIP,clean,Edema,Age,<50,2172,0.9074387155648762,0.016335892801116723,0.7771280051981806,0.8657187993680885,0.1342812006319115,0.2228719948018194
BiomedCLIP,clean,Edema,Age,50-70,4072,0.883270298700981,0.017469447723675403,0.8156097560975609,0.7963891675025075,0.20361083249749246,0.18439024390243908
BiomedCLIP,clean,Edema,Age,70+,3742,0.8724262195502844,0.00801591663136035,0.8089279675346636,0.7796178343949045,0.2203821656050955,0.19107203246533644
BiomedCLIP,clean,Edema,Race,White,5529,0.8831575691472326,0.013074295910568298,0.7928554303524334,0.8107511045655376,0.18924889543446244,0.20714456964756656
BiomedCLIP,clean,Edema,Race,Black,653,0.878549647417572,0.04219587855415724,0.7966457023060797,0.8068181818181818,0.19318181818181823,0.20335429769392033
BiomedCLIP,clean,Edema,Race,Asian,998,0.9043304983770903,0.02403408303961711,0.8237704918032787,0.8270676691729323,0.17293233082706772,0.17622950819672134
BiomedCLIP,clean,Edema,Race,Other,1411,0.8817483445014769,0.03511059577430918,0.7888999008919723,0.8159203980099502,0.1840796019900498,0.21110009910802774
BiomedCLIP,clean,Enlarged Cardiomediastinum,Gender,Female,1382,0.8364741856520093,0.023350066828681827,0.7381615598885793,0.7898338220918866,0.21016617790811343,0.26183844011142066
BiomedCLIP,clean,Enlarged Cardiomediastinum,Gender,Male,1999,0.8469377530617914,0.03456078719463975,0.7699386503067485,0.7757980697847068,0.22420193021529322,0.23006134969325154
BiomedCLIP,clean,Enlarged Cardiomediastinum,Age,<50,1179,0.8243838028169014,0.0320848544292298,0.62890625,0.8721560130010835,0.12784398699891653,0.37109375
BiomedCLIP,clean,Enlarged Cardiomediastinum,Age,50-70,1289,0.8621174524400331,0.033752193339160824,0.8051282051282052,0.7753058954393771,0.2246941045606229,0.19487179487179485
BiomedCLIP,clean,Enlarged Cardiomediastinum,Age,70+,913,0.808834116588341,0.043634908503975015,0.8,0.6405109489051095,0.3594890510948905,0.19999999999999996
BiomedCLIP,clean,Enlarged Cardiomediastinum,Race,White,1865,0.8435899319128332,0.029117910006033212,0.7508833922261484,0.7767513471901463,0.22324865280985373,0.24911660777385158
BiomedCLIP,clean,Enlarged Cardiomediastinum,Race,Black,210,0.875,0.04402279750301097,0.7857142857142857,0.7922077922077922,0.20779220779220775,0.2142857142857143
BiomedCLIP,clean,Enlarged Cardiomediastinum,Race,Asian,369,0.8398964098197814,0.04266632169642625,0.7870370370370371,0.7854406130268199,0.2145593869731801,0.2129629629629629
BiomedCLIP,clean,Enlarged Cardiomediastinum,Race,Other,612,0.8386339298385952,0.049560610377462046,0.7318435754189944,0.8383371824480369,0.1616628175519631,0.26815642458100564
BiomedCLIP,clean,Lung Opacity,Gender,Female,5820,0.8315546516663379,0.004957321371826235,0.7855991402471789,0.7383966244725738,0.2616033755274262,0.21440085975282108
BiomedCLIP,clean,Lung Opacity,Gender,Male,8629,0.8449587922431372,0.005236645150442714,0.7748917748917749,0.7731629392971247,0.22683706070287535,0.22510822510822515
BiomedCLIP,clean,Lung Opacity,Age,<50,3237,0.8477439107827038,0.006792650902830167,0.7234811165845648,0.8385416666666666,0.16145833333333337,0.2765188834154352
BiomedCLIP,clean,Lung Opacity,Age,50-70,5914,0.8397826019569957,0.0027417296882773293,0.784296504479185,0.751131221719457,0.248868778280543,0.21570349552081503
BiomedCLIP,clean,Lung Opacity,Age,70+,5298,0.8116078335975742,0.006619512295347659,0.806432861848479,0.656934306569343,0.34306569343065696,0.19356713815152105
BiomedCLIP,clean,Lung Opacity,Race,White,8189,0.828952099191552,0.00498644663724277,0.7680222982389459,0.7466216216216216,0.2533783783783784,0.23197770176105414
BiomedCLIP,clean,Lung Opacity,Race,Black,760,0.8283722749742167,0.008554576480707017,0.7420249653259362,0.7692307692307693,0.23076923076923073,0.2579750346740638
BiomedCLIP,clean,Lung Opacity,Race,Asian,1640,0.8670315830265453,0.010703983398624406,0.8003778337531486,0.75,0.25,0.19962216624685136
BiomedCLIP,clean,Lung Opacity,Race,Other,2122,0.8496822962850465,0.005587483904220141,0.7723899059871351,0.8118811881188119,0.18811881188118806,0.22761009401286492
BiomedCLIP,clean,Pleural Effusion,Gender,Female,6383,0.9449576153616166,0.024358131960725202,0.876425855513308,0.8775015160703457,0.12249848392965434,0.12357414448669202
BiomedCLIP,clean,Pleural Effusion,Gender,Male,9419,0.9311670933424971,0.010938625191512886,0.8443916748149183,0.8845132743362832,0.11548672566371676,0.15560832518508172
BiomedCLIP,clean,Pleural Effusion,Age,<50,3648,0.939261745724318,0.015228686919228369,0.8126901347240331,0.9086859688195991,0.09131403118040093,0.18730986527596694
BiomedCLIP,clean,Pleural Effusion,Age,50-70,6617,0.9387760789031036,0.013332122679666951,0.8555004955401387,0.8905852417302799,0.10941475826972014,0.14449950445986126
BiomedCLIP,clean,Pleural Effusion,Age,70+,5537,0.9229533069867355,0.011649982947982506,0.881460303496811,0.8303030303030303,0.16969696969696968,0.11853969650318896
BiomedCLIP,clean,Pleural Effusion,Race,White,8991,0.93266210193101,0.008083936385899484,0.8516307513104252,0.8789448893075836,0.12105511069241637,0.1483692486895748
BiomedCLIP,clean,Pleural Effusion,Race,Black,796,0.9376149443101276,0.03360776317308118,0.8109161793372319,0.9045936395759717,0.09540636042402828,0.18908382066276808
BiomedCLIP,clean,Pleural Effusion,Race,Asian,1866,0.945335084994405,0.01682918901424342,0.8766643307638402,0.8883826879271071,0.11161731207289294,0.1233356692361598
BiomedCLIP,clean,Pleural Effusion,Race,Other,2394,0.9362957287875886,0.03044978068290182,0.8502202643171806,0.8906832298136645,0.10931677018633545,0.14977973568281944
BiomedCLIP,clean,Pneumonia,Gender,Female,359,0.8374840357598978,0.053835793718492696,0.8024691358024691,0.7068965517241379,0.2931034482758621,0.19753086419753085
BiomedCLIP,clean,Pneumonia,Gender,Male,551,0.8673931623931623,0.0262814404815423,0.7863247863247863,0.845,0.15500000000000003,0.2136752136752137
BiomedCLIP,clean,Pneumonia,Age,<50,247,0.8609271523178808,0.08623716046303351,0.8013245033112583,0.8229166666666666,0.17708333333333337,0.19867549668874174
BiomedCLIP,clean,Pneumonia,Age,50-70,333,0.8896899783705841,0.04520344605153766,0.776255707762557,0.8596491228070176,0.14035087719298245,0.22374429223744297
BiomedCLIP,clean,Pneumonia,Age,70+,330,0.8207126010781671,0.07708529331687593,0.8035714285714286,0.6981132075471698,0.30188679245283023,0.1964285714285714
BiomedCLIP,clean,Pneumonia,Race,White,513,0.8645018701122067,0.03335763202614803,0.7764705882352941,0.8092485549132948,0.19075144508670516,0.22352941176470587
BiomedCLIP,clean,Pneumonia,Race,Black,55,0.7631578947368421,0.1475004512745778,0.6666666666666666,0.8421052631578947,0.1578947368421053,0.33333333333333337
BiomedCLIP,clean,Pneumonia,Race,Asian,122,0.8329004329004329,0.08208940261489144,0.8181818181818182,0.7777777777777778,0.2222222222222222,0.18181818181818177
BiomedCLIP,clean,Pneumonia,Race,Other,139,0.9017857142857143,0.05551236564829785,0.8571428571428571,0.8125,0.1875,0.1428571428571429
BiomedCLIP,clean,Pneumothorax,Gender,Female,4009,0.807934652802783,0.025011398727552748,0.745694022289767,0.7246856386499008,0.27531436135009923,0.254305977710233
BiomedCLIP,clean,Pneumothorax,Gender,Male,5916,0.7630796122773844,0.030948581209168186,0.7010834926704907,0.6972624798711755,0.3027375201288245,0.29891650732950925
BiomedCLIP,clean,Pneumothorax,Age,<50,3093,0.7843698261983627,0.039974127461517704,0.6845386533665836,0.7328677433435181,0.2671322566564819,0.3154613466334164
BiomedCLIP,clean,Pneumothorax,Age,50-70,4146,0.7866141020769425,0.03197330946068975,0.7469670710571924,0.6978609625668449,0.30213903743315507,0.2530329289428076
BiomedCLIP,clean,Pneumothorax,Age,70+,2686,0.7692529562160434,0.02941818247904764,0.7083333333333334,0.6970278044103547,0.3029721955896453,0.29166666666666663
BiomedCLIP,clean,Pneumothorax,Race,White,5485,0.7737385145403124,0.019066046116497058,0.70888733379986,0.7004437869822485,0.2995562130177515,0.29111266620014
BiomedCLIP,clean,Pneumothorax,Race,Black,478,0.8474514732579249,0.05638446100112779,0.7741935483870968,0.7636363636363637,0.23636363636363633,0.22580645161290325
BiomedCLIP,clean,Pneumothorax,Race,Asian,1204,0.7708884547021071,0.026423265967255173,0.7953216374269005,0.6276102088167054,0.3723897911832946,0.20467836257309946
BiomedCLIP,clean,Pneumothorax,Race,Other,1629,0.7942494327149566,0.028151459299695876,0.6352201257861635,0.7818459191456903,0.21815408085430965,0.3647798742138365
BiomedCLIP,clean,Support Devices,Gender,Female,6659,0.7071938405889309,0.0048692261382473154,0.5897792187741239,0.7637362637362637,0.2362637362637363,0.41022078122587613
BiomedCLIP,clean,Support Devices,Gender,Male,10156,0.7424299991258996,0.0051685035864167655,0.6039159698143993,0.7714285714285715,0.22857142857142854,0.3960840301856007
BiomedCLIP,clean,Support Devices,Age,<50,4522,0.7223658907542777,0.0045156221334403815,0.6018751429224789,0.7516778523489933,0.24832214765100669,0.3981248570775211
BiomedCLIP,clean,Support Devices,Age,50-70,7299,0.7289945214109683,0.0020814136631145705,0.6026874115983026,0.7685589519650655,0.23144104803493448,0.39731258840169736
BiomedCLIP,clean,Support Devices,Age,70+,4994,0.7377106364709671,0.0014045513749663145,0.5886363636363636,0.7857142857142857,0.2142857142857143,0.4113636363636364
BiomedCLIP,clean,Support Devices,Race,White,9238,0.7272171843848478,0.0012504050640419723,0.5786943885535435,0.7842465753424658,0.21575342465753422,0.4213056114464565
BiomedCLIP,clean,Support Devices,Race,Black,849,0.6568441921239975,0.009652980789415615,0.6167883211678832,0.7037037037037037,0.2962962962962963,0.3832116788321168
BiomedCLIP,clean,Support Devices,Race,Asian,1856,0.7472518061783757,0.010006523215738675,0.6087443946188341,0.7777777777777778,0.2222222222222222,0.3912556053811659
BiomedCLIP,clean,Support Devices,Race,Other,2510,0.7296513810208525,0.0026350514071463273,0.6080360803608036,0.7323943661971831,0.2676056338028169,0.3919639196391964
XRV-DenseNet-nih,clean,Atelectasis,Gender,Female,1807,0.8499891020052309,0.000868704847451345,0.7606981981981982,0.8387096774193549,0.16129032258064513,0.23930180180180183
XRV-DenseNet-nih,clean,Atelectasis,Gender,Male,2748,0.7808012702503682,0.007859733062358884,0.7470544918998527,0.6875,0.3125,0.25294550810014726
XRV-DenseNet-nih,clean,Atelectasis,Age,<50,1063,0.8598843930635839,0.005741463360791543,0.6763005780346821,0.88,0.12,0.32369942196531787
XRV-DenseNet-nih,clean,Atelectasis,Age,50-70,1938,0.7629528039010797,0.006050902812548233,0.7251828631138976,0.7083333333333334,0.29166666666666663,0.27481713688610243
XRV-DenseNet-nih,clean,Atelectasis,Age,70+,1554,0.7850185528756958,0.0034255415423151384,0.8376623376623377,0.6428571428571429,0.3571428571428571,0.16233766233766234
XRV-DenseNet-nih,clean,Atelectasis,Race,White,2532,0.7965731747244352,0.005866147021655023,0.7555022008803521,0.7272727272727273,0.2727272727272727,0.24449779911964786
XRV-DenseNet-nih,clean,Atelectasis,Race,Asian,468,0.8,0.0055194123857694125,0.7883369330453563,0.6,0.4,0.21166306695464365
XRV-DenseNet-nih,clean,Atelectasis,Race,Other,677,0.8448136958710977,0.005442196587027812,0.716012084592145,0.8666666666666667,0.1333333333333333,0.28398791540785495
XRV-DenseNet-nih,clean,Cardiomegaly,Gender,Female,2341,0.8690001935832254,0.02590798080993972,0.8471100062150404,0.7390710382513661,0.2609289617486339,0.1528899937849596
XRV-DenseNet-nih,clean,Cardiomegaly,Gender,Male,3416,0.8946113606134296,0.01292498794343114,0.8424801005446166,0.7881438289601554,0.21185617103984455,0.15751989945538336
XRV-DenseNet-nih,clean,Cardiomegaly,Age,<50,1411,0.9230441531271616,0.03184596315425708,0.8428405122235157,0.8659420289855072,0.1340579710144928,0.15715948777648425
XRV-DenseNet-nih,clean,Cardiomegaly,Age,50-70,2272,0.886267242151511,0.029238019681515928,0.8510919920582396,0.7568988173455979,0.24310118265440206,0.1489080079417604
XRV-DenseNet-nih,clean,Cardiomegaly,Age,70+,2074,0.8308087879985943,0.026743753626244097,0.8388683886838868,0.6651785714285714,0.3348214285714286,0.1611316113161132
XRV-DenseNet-nih,clean,Cardiomegaly,Race,White,3077,0.8832219539959179,0.012276491731512636,0.8399621212121212,0.7699481865284974,0.2300518134715026,0.16003787878787878
XRV-DenseNet-nih,clean,Cardiomegaly,Race,Black,504,0.8928825885069896,0.05128796051875206,0.8759305210918115,0.7623762376237624,0.2376237623762376,0.12406947890818854
XRV-DenseNet-nih,clean,Cardiomegaly,Race,Asian,621,0.8590591778071817,0.06445477339340243,0.8094059405940595,0.7603686635944701,0.23963133640552992,0.19059405940594054
XRV-DenseNet-nih,clean,Cardiomegaly,Race,Other,967,0.8909686715627033,0.0344459975093653,0.832258064516129,0.7838616714697406,0.21613832853025938,0.16774193548387095
XRV-DenseNet-nih,clean,Consolidation,Gender,Female,2289,0.8802639496236355,0.03896694946907243,0.8231631382316313,0.7833109017496636,0.21668909825033644,0.17683686176836866
XRV-DenseNet-nih,clean,Consolidation,Gender,Male,2994,0.8769161568307654,0.022010275507374576,0.7803780378037803,0.8215613382899628,0.1784386617100372,0.21962196219621966
XRV-DenseNet-nih,clean,Consolidation,Age,<50,1552,0.9071847381069805,0.028689635477013573,0.8143459915611815,0.862708719851577,0.13729128014842296,0.18565400843881852
XRV-DenseNet-nih,clean,Consolidation,Age,50-70,2081,0.8709646979359118,0.017589278767210708,0.7790849673202614,0.8123100303951368,0.18768996960486317,0.22091503267973855
XRV-DenseNet-nih,clean,Consolidation,Age,70+,1650,0.852768091168091,0.03554534285649265,0.8088888888888889,0.7302564102564103,0.2697435897435897,0.19111111111111112
XRV-DenseNet-nih,clean,Consolidation,Race,White,2900,0.8761531422737912,0.023096426148059485,0.7955426356589147,0.8233404710920771,0.1766595289079229,0.2044573643410853
XRV-DenseNet-nih,clean,Consolidation,Race,Black,345,0.8473362525086663,0.08684252576134646,0.7738095238095238,0.7701149425287356,0.22988505747126442,0.22619047619047616
XRV-DenseNet-nih,clean,Consolidation,Race,Asian,628,0.8907252938075599,0.030809941362634156,0.8118081180811808,0.7843137254901961,0.21568627450980393,0.1881918819188192
XRV-DenseNet-nih,clean,Consolidation,Race,Other,924,0.8724662767429425,0.035708726631701604,0.7879858657243817,0.8018720748829953,0.19812792511700472,0.21201413427561833
XRV-DenseNet-nih,clean,Edema,Gender,Female,4298,0.8296755246429115,0.009882893228755614,0.7855203619909502,0.728382502543235,0.271617497456765,0.2144796380090498
XRV-DenseNet-nih,clean,Edema,Gender,Male,5688,0.8378939886377956,0.011536196298901664,0.7556390977443609,0.763268156424581,0.236731843575419,0.2443609022556391
XRV-DenseNet-nih,clean,Edema,Age,<50,2172,0.8747334957251534,0.02010460928730907,0.7569850552306693,0.8262243285939969,0.17377567140600314,0.24301494476933072
XRV-DenseNet-nih,clean,Edema,Age,50-70,4072,0.8263770172305536,0.015618322298407174,0.7632520325203253,0.7442326980942828,0.25576730190571717,0.23674796747967475
XRV-DenseNet-nih,clean,Edema,Age,70+,3742,0.8115532828288268,0.013466995727154723,0.7805207981061887,0.6929936305732484,0.30700636942675164,0.21947920189381132
XRV-DenseNet-nih,clean,Edema,Race,White,5529,0.8266835775035495,0.01586253349806086,0.7604890913450012,0.7511045655375552,0.24889543446244478,0.2395109086549988
XRV-DenseNet-nih,clean,Edema,Race,Black,653,0.8299266247379455,0.021662192254794287,0.740041928721174,0.7386363636363636,0.26136363636363635,0.259958071278826
XRV-DenseNet-nih,clean,Edema,Race,Asian,998,0.8607276387690537,0.034438355777953705,0.8224043715846995,0.7481203007518797,0.25187969924812026,0.17759562841530052
XRV-DenseNet-nih,clean,Edema,Race,Other,1411,0.8342677100128693,0.032419733212518294,0.7621407333994054,0.7587064676616916,0.24129353233830841,0.23785926660059464
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Gender,Female,1382,0.8025007011438856,0.024830353544948815,0.6852367688022284,0.7595307917888563,0.2404692082111437,0.3147632311977716
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Gender,Male,1999,0.8171988650079021,0.025972775686184696,0.754601226993865,0.7461024498886414,0.2538975501113586,0.245398773006135
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Age,<50,1179,0.8055466210725895,0.032207147800857344,0.64453125,0.847237269772481,0.15276273022751896,0.35546875
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Age,50-70,1289,0.8168049970052195,0.028335654763843185,0.7384615384615385,0.7363737486095662,0.26362625139043383,0.2615384615384615
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Age,70+,913,0.774057594240576,0.03807153598370518,0.7808219178082192,0.6167883211678832,0.3832116788321168,0.2191780821917808
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Race,White,1865,0.8107024430317423,0.0233426018119334,0.7314487632508834,0.7428791377983064,0.2571208622016936,0.26855123674911663
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Race,Black,210,0.8180658627087197,0.03421852566601398,0.75,0.7857142857142857,0.2142857142857143,0.25
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Race,Asian,369,0.8226905065985527,0.02745509175106165,0.7222222222222222,0.7509578544061303,0.24904214559386972,0.2777777777777778
XRV-DenseNet-nih,clean,Enlarged Cardiomediastinum,Race,Other,612,0.8026887893996671,0.03810796538937119,0.6871508379888268,0.7852193995381063,0.21478060046189373,0.3128491620111732
XRV-DenseNet-nih,clean,Lung Opacity,Gender,Female,5820,0.7694024430704723,0.0055112468095521935,0.7599856707863156,0.6540084388185654,0.3459915611814346,0.24001432921368437
XRV-DenseNet-nih,clean,Lung Opacity,Gender,Male,8629,0.7773182916952885,0.007721143903303671,0.7031024531024531,0.7156549520766773,0.2843450479233227,0.2968975468975469
XRV-DenseNet-nih,clean,Lung Opacity,Age,<50,3237,0.7875649972632731,0.012693255348604084,0.6794745484400657,0.7552083333333334,0.24479166666666663,0.3205254515599343
XRV-DenseNet-nih,clean,Lung Opacity,Age,50-70,5914,0.7708164269369464,0.005722615688057474,0.7029685578780959,0.7194570135746606,0.28054298642533937,0.29703144212190413
XRV-DenseNet-nih,clean,Lung Opacity,Age,70+,5298,0.7339196132702173,0.007202947365266058,0.7787250532842472,0.5474452554744526,0.45255474452554745,0.22127494671575276
XRV-DenseNet-nih,clean,Lung Opacity,Race,White,8189,0.7649529518115606,0.006575366780952717,0.7058152793614595,0.6993243243243243,0.30067567567567566,0.2941847206385405
XRV-DenseNet-nih,clean,Lung Opacity,Race,Black,760,0.7335965005867919,0.013427576758471381,0.6990291262135923,0.7435897435897436,0.2564102564102564,0.30097087378640774
XRV-DenseNet-nih,clean,Lung Opacity,Race,Asian,1640,0.8122093586514242,0.008538329875520266,0.7783375314861462,0.6730769230769231,0.32692307692307687,0.22166246851385385
XRV-DenseNet-nih,clean,Lung Opacity,Race,Other,2122,0.7813061860367135,0.009329567334291428,0.7367639782285997,0.693069306930693,0.306930693069307,0.26323602177140026
XRV-DenseNet-nih,clean,Pleural Effusion,Gender,Female,6383,0.8733405530819334,0.02920642459071418,0.8231939163498099,0.7628865979381443,0.23711340206185572,0.17680608365019013
XRV-DenseNet-nih,clean,Pleural Effusion,Gender,Male,9419,0.8589236025696969,0.020215437234785128,0.7642128788937003,0.7991150442477876,0.20088495575221244,0.23578712110629974
XRV-DenseNet-nih,clean,Pleural Effusion,Age,<50,3648,0.8773565090804908,0.03098945213713932,0.7461973055193394,0.8559762435040832,0.1440237564959168,0.2538026944806606
XRV-DenseNet-nih,clean,Pleural Effusion,Age,50-70,6617,0.863015305003064,0.01582528211240555,0.7680872150644202,0.8002544529262087,0.19974554707379133,0.23191278493557976
XRV-DenseNet-nih,clean,Pleural Effusion,Age,70+,5537,0.831132303905561,0.008590703020420554,0.8304376511985925,0.6595959595959596,0.3404040404040404,0.16956234880140753
XRV-DenseNet-nih,clean,Pleural Effusion,Race,White,8991,0.8618488029845349,0.016197238377779304,0.7722772277227723,0.8007536504945831,0.19924634950541686,0.2277227722772277
XRV-DenseNet-nih,clean,Pleural Effusion,Race,Black,796,0.8310843854827488,0.06766236358600348,0.7387914230019493,0.7915194346289752,0.20848056537102477,0.26120857699805067
XRV-DenseNet-nih,clean,Pleural Effusion,Race,Asian,1866,0.8784186523170933,0.029024856770059837,0.8395234758234057,0.7357630979498861,0.26423690205011385,0.1604765241765943
XRV-DenseNet-nih,clean,Pleural Effusion,Race,Other,2394,0.8684089763083935,0.0661978671738154,0.8118313404657017,0.7639751552795031,0.2360248447204969,0.1881686595342983
XRV-DenseNet-nih,clean,Pneumonia,Gender,Female,359,0.7592592592592593,0.0377896312776533,0.6748971193415638,0.7327586206896551,0.26724137931034486,0.3251028806584362
XRV-DenseNet-nih,clean,Pneumonia,Gender,Male,551,0.7712962962962964,0.03173714225610817,0.584045584045584,0.83,0.17000000000000004,0.41595441595441596
XRV-DenseNet-nih,clean,Pneumonia,Age,<50,247,0.7609685430463575,0.057981043938830044,0.6026490066225165,0.8229166666666666,0.17708333333333337,0.3973509933774835
XRV-DenseNet-nih,clean,Pneumonia,Age,50-70,333,0.7828646959865418,0.04021662234792944,0.6118721461187214,0.8157894736842105,0.1842105263157895,0.3881278538812786
XRV-DenseNet-nih,clean,Pneumonia,Age,70+,330,0.7547169811320755,0.0460574785202334,0.6428571428571429,0.7452830188679245,0.2547169811320755,0.3571428571428571
XRV-DenseNet-nih,clean,Pneumonia,Race,White,513,0.7881502890173411,0.04705431046987291,0.6088235294117647,0.838150289017341,0.161849710982659,0.39117647058823535
XRV-DenseNet-nih,clean,Pneumonia,Race,Black,55,0.6578947368421052,0.10436038704800918,0.4722222222222222,0.8421052631578947,0.1578947368421053,0.5277777777777778
XRV-DenseNet-nih,clean,Pneumonia,Race,Asian,122,0.7197691197691197,0.06195835267393997,0.6493506493506493,0.6666666666666666,0.33333333333333337,0.35064935064935066
XRV-DenseNet-nih,clean,Pneumonia,Race,Other,139,0.7603021978021979,0.08855926037507915,0.6373626373626373,0.7291666666666666,0.27083333333333337,0.3626373626373627
XRV-DenseNet-nih,clean,Pneumothorax,Gender,Female,4009,0.6935210683960984,0.009527438823110952,0.6453900709219859,0.6432825943084051,0.35671740569159494,0.35460992907801414
XRV-DenseNet-nih,clean,Pneumothorax,Gender,Male,5916,0.667327180947044,0.028332132699717613,0.5780752071383046,0.6698872785829307,0.33011272141706927,0.4219247928616954
XRV-DenseNet-nih,clean,Pneumothorax,Age,<50,3093,0.679089051705089,0.028181521938905073,0.5673316708229427,0.6957660410301179,0.30423395896988215,0.43266832917705733
XRV-DenseNet-nih,clean,Pneumothorax,Age,50-70,4146,0.6875550283135154,0.03364268505250642,0.6152512998266898,0.6734625668449198,0.3265374331550802,0.3847487001733102
XRV-DenseNet-nih,clean,Pneumothorax,Age,70+,2686,0.6631695429849792,0.03329026021329077,0.6316666666666667,0.5977948226270374,0.4022051773729626,0.3683333333333333
XRV-DenseNet-nih,clean,Pneumothorax,Race,White,5485,0.6719375213077102,0.018400195783189115,0.5878236529041287,0.6696252465483234,0.33037475345167655,0.41217634709587125
XRV-DenseNet-nih,clean,Pneumothorax,Race,Black,478,0.7704789833822092,0.050189066411417516,0.6774193548387096,0.7246753246753247,0.2753246753246753,0.32258064516129037
XRV-DenseNet-nih,clean,Pneumothorax,Race,Asian,1204,0.6710153186523928,0.02286806168913478,0.7280701754385965,0.5243619489559165,0.4756380510440835,0.27192982456140347
XRV-DenseNet-nih,clean,Pneumothorax,Race,Other,1629,0.6836948126400222,0.030623755243723707,0.5345911949685535,0.7078565980167811,0.29214340198321886,0.46540880503144655
XRV-DenseNet-nih,clean,Support Devices,Gender,Female,6659,0.6285359692029446,0.002426693353076418,0.6652771344758376,0.5,0.5,0.3347228655241624
XRV-DenseNet-nih,clean,Support Devices,Gender,Male,10156,0.647959266921127,0.0030399003233263886,0.6129920456863145,0.6285714285714286,0.37142857142857144,0.3870079543136855
XRV-DenseNet-nih,clean,Support Devices,Age,<50,4522,0.6213463642823488,0.0009398967656774867,0.5915847244454607,0.5906040268456376,0.4093959731543624,0.40841527555453927
XRV-DenseNet-nih,clean,Support Devices,Age,50-70,7299,0.6520885962582534,0.0005940652609691578,0.6224893917963225,0.6244541484716157,0.37554585152838427,0.37751060820367754
XRV-DenseNet-nih,clean,Support Devices,Age,70+,4994,0.6507513148009016,0.002235584410596303,0.6884297520661157,0.5194805194805194,0.48051948051948057,0.3115702479338843
XRV-DenseNet-nih,clean,Support Devices,Race,White,9238,0.638399269283892,0.00033440536986120294,0.613346747149564,0.6027397260273972,0.3972602739726028,0.38665325285043595
XRV-DenseNet-nih,clean,Support Devices,Race,Black,849,0.6154366044876994,0.0038322532119884536,0.6763990267639902,0.5555555555555556,0.4444444444444444,0.3236009732360098
XRV-DenseNet-nih,clean,Support Devices,Race,Asian,1856,0.6559775161933233,0.010011776493249788,0.6743273542600897,0.5416666666666666,0.45833333333333337,0.3256726457399103
XRV-DenseNet-nih,clean,Support Devices,Race,Other,2510,0.6745837880914021,0.0037295628739726625,0.6137761377613776,0.6338028169014085,0.3661971830985915,0.3862238622386224
CLIP-ViT-B16,clean,Atelectasis,Gender,Female,1807,0.8154061319383901,0.004880265660827853,0.768581081081081,0.8064516129032258,0.19354838709677424,0.23141891891891897
CLIP-ViT-B16,clean,Atelectasis,Gender,Male,2748,0.7763369845360825,0.0059441640323131695,0.7986008836524301,0.625,0.375,0.2013991163475699
CLIP-ViT-B16,clean,Atelectasis,Age,<50,1063,0.8333718689788053,0.007974255631393954,0.7235067437379576,0.8,0.19999999999999996,0.27649325626204235
CLIP-ViT-B16,clean,Atelectasis,Age,50-70,1938,0.7125348310693139,0.006285608611915117,0.7847439916405433,0.5833333333333334,0.41666666666666663,0.21525600835945669
CLIP-ViT-B16,clean,Atelectasis,Age,70+,1554,0.8469387755102042,0.0037175263250337114,0.8318181818181818,0.7857142857142857,0.2142857142857143,0.1681818181818182
CLIP-ViT-B16,clean,Atelectasis,Race,White,2532,0.8006354056774224,0.006544714087644862,0.7927170868347339,0.696969696969697,0.303030303030303,0.20728291316526615
CLIP-ViT-B16,clean,Atelectasis,Race,Asian,468,0.6280777537796975,0.006686828653814902,0.7408207343412527,0.4,0.6,0.25917926565874727
CLIP-ViT-B16,clean,Atelectasis,Race,Other,677,0.8365558912386707,0.004987446148210875,0.7688821752265861,0.8,0.19999999999999996,0.23111782477341392
CLIP-ViT-B16,clean,Cardiomegaly,Gender,Female,2341,0.828690732118174,0.029323150119951884,0.7868241143567433,0.7213114754098361,0.2786885245901639,0.21317588564325674
CLIP-ViT-B16,clean,Cardiomegaly,Gender,Male,3416,0.8585218035984516,0.020553910858888653,0.8022622538751571,0.771622934888241,0.22837706511175904,0.19773774612484285
CLIP-ViT-B16,clean,Cardiomegaly,Age,<50,1411,0.8870885424575254,0.026112160192755696,0.7497089639115251,0.8786231884057971,0.12137681159420288,0.2502910360884749
CLIP-ViT-B16,clean,Cardiomegaly,Age,50-70,2272,0.8520225312230676,0.030427826312072585,0.8041032428855063,0.7450722733245729,0.25492772667542707,0.19589675711449372
CLIP-ViT-B16,clean,Cardiomegaly,Age,70+,2074,0.7801160824108241,0.04665931151453022,0.8130381303813038,0.6026785714285714,0.3973214285714286,0.1869618696186962
