group,n_attributes,n_observations,beta,intercept,r2,p_ols,se_ols,p_cluster_attr,se_cluster_attr,p_cluster_find,se_cluster_find
all,24,1440,0.02904523767006895,-0.0015254946738249855,0.5063514809967511,1.0911673623550552e-222,0.0007562726041949693,3.126825059407712e-10,0.004615955570874771,0.00044324358442387264,0.008268164279182453
adjudicable,5,300,0.03697481465064066,-0.003513757117803909,0.5222315710495329,1.017703500617673e-49,0.0020486842848189313,0.0005616155219086148,0.010718875791790846,0.004526191573503747,0.013024105420755787
non_adjudicable,19,1140,0.02658065694297251,-0.0010321635421105296,0.5117734422497873,2.210285835397073e-179,0.0007696023881531039,1.4178616116265083e-12,0.0037531133613902938,6.19244513146023e-05,0.006636280173846891
slope_diff_test,24,1440,0.010394157707668198,,0.5180205765947086,4.720305372435385e-09,0.0017638354867800913,0.321074356717559,0.010475314966189688,,
