condition,mean_gap,gap_reduction_vs_baseline,pct_reduction,n_cells
baseline,0.07087432158712065,0.0,0.0,60
race_only,0.07028058445441472,0.0005937371327059265,0.8377323682401512,60
cardiac_only,0.07890088225476476,-0.008026560667644109,-11.325061726026743,60
joint_race_cardiac,0.07873998642968515,-0.007865664842564499,-11.09804604322852,60
