model,disease,auroc_baseline,auroc_resid_hf,auroc_resid_af,auroc_resid_age,auroc_resid_simultaneous,drop_hf,drop_af,drop_age,drop_simultaneous,sum_individual,redundancy,redundancy_pct
XRV-DenseNet-nih,Support Devices,0.679896,0.674056,0.672526,0.672946,0.669359,0.005839,0.007369,0.006950,0.010537,0.020158,0.009622,47.730118
CLIP-ViT-B16,Atelectasis,0.695069,0.681292,0.682229,0.680691,0.674008,0.013777,0.012840,0.014378,0.021061,0.040994,0.019933,48.623678
CLIP-ViT-B16,Cardiomegaly,0.782114,0.718650,0.734300,0.748956,0.703833,0.063464,0.047814,0.033158,0.078281,0.144435,0.066154,45.802152
CLIP-ViT-B16,Consolidation,0.845705,0.839322,0.836544,0.839908,0.833594,0.006383,0.009161,0.005797,0.012111,0.021341,0.009231,43.252241
CLIP-ViT-B16,Edema,0.849966,0.817202,0.831538,0.835101,0.812905,0.032764,0.018428,0.014865,0.037061,0.066058,0.028997,43.896950
CLIP-ViT-B16,Enlarged Cardiomediastinum,0.762605,0.737729,0.742373,0.740257,0.724206,0.024876,0.020232,0.022349,0.038399,0.067457,0.029058,43.076199
CLIP-ViT-B16,Lung Opacity,0.702691,0.692090,0.694639,0.683672,0.680078,0.010601,0.008052,0.019018,0.022613,0.037671,0.015058,39.973401
CLIP-ViT-B16,Pleural Effusion,0.833583,0.817456,0.813012,0.809739,0.799422,0.016128,0.020571,0.023844,0.034161,0.060543,0.026382,43.575134
CLIP-ViT-B16,Pneumonia,0.717162,0.712084,0.714029,0.713392,0.710765,0.005078,0.003133,0.003770,0.006397,0.011981,0.005584,46.610047
CLIP-ViT-B16,Pneumothorax,0.672665,0.668650,0.672305,0.677560,0.674451,0.004016,0.000361,-0.004895,-0.001786,-0.000519,0.001267,0.000000
CLIP-ViT-B16,Support Devices,0.745818,0.742975,0.738625,0.741591,0.737609,0.002843,0.007193,0.004227,0.008209,0.014263,0.006053,42.441668
ConvNeXtV2-Base,Atelectasis,0.649827,0.643826,0.640028,0.640239,0.637402,0.006001,0.009799,0.009588,0.012425,0.025388,0.012963,51.058320
ConvNeXtV2-Base,Cardiomegaly,0.816692,0.749233,0.764639,0.781425,0.730151,0.067458,0.052053,0.035267,0.086541,0.154779,0.068238,44.087507
ConvNeXtV2-Base,Consolidation,0.866323,0.860261,0.857431,0.860354,0.854678,0.006062,0.008892,0.005969,0.011645,0.020923,0.009278,44.343924
ConvNeXtV2-Base,Edema,0.877315,0.845553,0.859655,0.865553,0.842460,0.031762,0.017660,0.011763,0.034855,0.061185,0.026329,43.032446
ConvNeXtV2-Base,Enlarged Cardiomediastinum,0.741445,0.719716,0.723527,0.719928,0.708095,0.021728,0.017917,0.021516,0.033349,0.061162,0.027813,45.473878
ConvNeXtV2-Base,Lung Opacity,0.691929,0.682669,0.684504,0.676473,0.672357,0.009261,0.007425,0.015456,0.019572,0.032142,0.012571,39.109059
ConvNeXtV2-Base,Pleural Effusion,0.868205,0.854173,0.850950,0.849085,0.839398,0.014032,0.017255,0.019119,0.028807,0.050406,0.021599,42.850274
ConvNeXtV2-Base,Pneumonia,0.738390,0.733801,0.736410,0.735231,0.732921,0.004588,0.001980,0.003159,0.005469,0.009727,0.004258,43.776717
ConvNeXtV2-Base,Pneumothorax,0.695334,0.693090,0.695292,0.698916,0.696289,0.002244,0.000042,-0.003581,-0.000954,-0.001295,-0.000340,0.000000
ConvNeXtV2-Base,Support Devices,0.747330,0.744157,0.740372,0.742849,0.739962,0.003173,0.006959,0.004481,0.007368,0.014612,0.007244,49.577836
