model,disease,gap_baseline,gap_race_only,gap_cardiac_only,gap_joint_race_cardiac,red_race_only,red_cardiac_only,red_joint
ResNet50-ImageNet,Atelectasis,0.24367617201919523,0.23289036544850505,0.19097799003322258,0.1883674787744556,0.01078580657069017,0.05269818198597265,0.05530869324473964
ResNet50-ImageNet,Cardiomegaly,0.030187954518075655,0.02611056231697373,0.02909346276126057,0.029572342274243435,0.004077392201101926,0.0010944917568150858,0.0006156122438322198
ResNet50-ImageNet,Consolidation,0.06825907210139248,0.06530683897416778,0.07535455364964894,0.07701172957851377,0.0029522331272247015,-0.007095481548256455,-0.008752657477121284
ResNet50-ImageNet,Edema,0.04684413476698124,0.04649967630311702,0.05667912827794008,0.057132192158970696,0.00034445846386421675,-0.009834993510958845,-0.010288057391989458
ResNet50-ImageNet,Enlarged Cardiomediastinum,0.0815164123901988,0.07661812297734638,0.1158437355524734,0.11266990291262136,0.004898289412852419,-0.0343273231622746,-0.031153490522422556
ResNet50-ImageNet,Lung Opacity,0.13382408673795998,0.13464116778745394,0.1610822178653113,0.16042244943325878,-0.0008170810494939618,-0.027258131127351315,-0.026598362695298805
ResNet50-ImageNet,Pleural Effusion,0.02096803688063531,0.023612617366928212,0.03174871299025839,0.033786231763925034,-0.0026445804862929023,-0.010780676109623077,-0.012818194883289724
ResNet50-ImageNet,Pneumonia,0.10825771128194273,0.10858306361771441,0.11650530264084835,0.1142692922830868,-0.0003253523357716892,-0.008247591358905626,-0.006011581001144073
ResNet50-ImageNet,Pneumothorax,0.06394490584211099,0.061274159667689676,0.059721642766388916,0.05661905854072835,0.0026707461744213123,0.004223263075722072,0.0073258473013826375
ResNet50-ImageNet,Support Devices,0.0490752754951197,0.04437356669964854,0.0590752518319142,0.0549440950894049,0.00470170879547116,-0.009999976336794503,-0.005868819594285202
DINOv2-base,Atelectasis,0.15710433579967809,0.15059432055629773,0.18982268865823992,0.1894458860000685,0.0065100152433803515,-0.03271835285856184,-0.03234155020039042
DINOv2-base,Cardiomegaly,0.05070113002057586,0.04769167272473285,0.026551718854412543,0.025803089652264077,0.00300945729584301,0.024149411166163315,0.02489804036831178
DINOv2-base,Consolidation,0.025111080229483274,0.0280133241082684,0.030352612339312857,0.03316563623873614,-0.002902243878785127,-0.005241532109829583,-0.008054556009252867
DINOv2-base,Edema,0.023897152075867845,0.024406206797994545,0.03318728202828514,0.03328421255315339,-0.0005090547221267006,-0.009290129952417292,-0.009387060477285547
DINOv2-base,Enlarged Cardiomediastinum,0.029066111881645873,0.03175450762829424,0.05106258197961844,0.053116696936064245,-0.0026883957466483643,-0.021996470097972565,-0.024050585054418372
DINOv2-base,Lung Opacity,0.06376945541483914,0.06362001371066495,0.08592452167931663,0.0845839045855653,0.00014944170417419134,-0.022155066264477496,-0.020814449170726168
DINOv2-base,Pleural Effusion,0.03179915013644352,0.03184932305361754,0.044817701144422406,0.04549887736241742,-5.0172917174018394e-05,-0.013018551007978885,-0.013699727225973901
DINOv2-base,Pneumonia,0.03922216827554692,0.04034890352728171,0.04297114487538323,0.04370846899335512,-0.0011267352517347895,-0.0037489765998363067,-0.0044863007178082
DINOv2-base,Pneumothorax,0.05145448794925045,0.051484219863584646,0.051367951807317014,0.05280410036775496,-2.9731914334196752e-05,8.65361419334354e-05,-0.0013496124185045089
