model,n_train,n_test,macro_auroc_4class,black_vs_white_auroc,auroc_White_ovr,auroc_Black_ovr,auroc_Asian_ovr,auroc_Other_ovr
ResNet50-ImageNet,146371,63252,0.7765416421398448,0.8474099879071388,0.7919321117595146,0.8237018545441078,0.8391011665903982,0.6514314356653583
DINOv2-base,146371,63252,0.8213537481928979,0.8959159323426519,0.8357245275476095,0.8750875759277772,0.8816995933217976,0.692903295974407
XRV-DenseNet-nih,146371,63252,0.7032803144968607,0.7137679484328077,0.6983643921216537,0.6901118404828628,0.7753184872501693,0.6493265381327571
BiomedCLIP,146371,63252,0.7753230614215115,0.820306536569515,0.7813595550105553,0.8057170765010843,0.840357630210295,0.6738579839641113
CLIP-ViT-B16,146364,63247,0.7691228852978367,0.8296432151905182,0.7806424114535229,0.8054462488478312,0.8284810597904129,0.6619218210995798
ConvNeXtV2-Base,146364,63247,0.799567170878815,0.8693954318272598,0.8106103028407675,0.8487563311193712,0.8671346108072244,0.6717674387478966
