model,disease,race_group,n,n_pos,auroc
BiomedCLIP,Atelectasis,White,5340,5179,0.714291710790951
BiomedCLIP,Atelectasis,Black,826,789,0.7152742095707875
BiomedCLIP,Atelectasis,Asian,197,192,0.48750000000000004
BiomedCLIP,Atelectasis,Other,620,602,0.6907530454042081
BiomedCLIP,Cardiomegaly,White,6459,4779,0.8423804790801025
BiomedCLIP,Cardiomegaly,Black,1333,1039,0.8701950462571939
BiomedCLIP,Cardiomegaly,Asian,281,194,0.8099893352292926
BiomedCLIP,Cardiomegaly,Other,748,529,0.8565139705311132
BiomedCLIP,Consolidation,White,1925,1217,0.8908645878305921
BiomedCLIP,Consolidation,Black,419,200,0.8875114155251141
BiomedCLIP,Consolidation,Asian,106,72,0.888888888888889
BiomedCLIP,Consolidation,Other,236,113,0.9045974530541765
BiomedCLIP,Edema,White,5718,3131,0.8880785768016556
BiomedCLIP,Edema,Black,1093,555,0.8873438494256338
BiomedCLIP,Edema,Asian,228,117,0.8736428736428736
BiomedCLIP,Edema,Other,685,319,0.8712506637888209
BiomedCLIP,Enlarged Cardiomediastinum,White,1346,816,0.7895995190529042
BiomedCLIP,Enlarged Cardiomediastinum,Black,223,120,0.7797734627831715
BiomedCLIP,Enlarged Cardiomediastinum,Asian,71,50,0.7666666666666667
BiomedCLIP,Enlarged Cardiomediastinum,Other,194,106,0.7910591766723841
BiomedCLIP,Lung Opacity,White,5827,5535,0.7642598161141427
BiomedCLIP,Lung Opacity,Black,1098,1018,0.7263015717092338
BiomedCLIP,Lung Opacity,Asian,293,278,0.8035971223021582
BiomedCLIP,Lung Opacity,Other,681,628,0.7429095060689822
BiomedCLIP,Pleural Effusion,White,9135,6451,0.8895850433660051
BiomedCLIP,Pleural Effusion,Black,1390,804,0.861783234000645
BiomedCLIP,Pleural Effusion,Asian,387,266,0.8756602249425215
BiomedCLIP,Pleural Effusion,Other,1046,635,0.9023430465352414
BiomedCLIP,Pneumonia,White,3927,1635,0.7649019858996322
BiomedCLIP,Pneumonia,Black,872,324,0.7853586554924755
BiomedCLIP,Pneumonia,Asian,227,105,0.7404371584699454
BiomedCLIP,Pneumonia,Other,541,205,0.7832752613240417
BiomedCLIP,Pneumothorax,White,5861,1163,0.6948058246918705
BiomedCLIP,Pneumothorax,Black,895,166,0.7489464028955327
BiomedCLIP,Pneumothorax,Asian,289,61,0.7498561978717285
BiomedCLIP,Pneumothorax,Other,653,100,0.7119710669077759
BiomedCLIP,Support Devices,White,8281,7943,0.745390791042986
BiomedCLIP,Support Devices,Black,1188,1127,0.772237333992756
BiomedCLIP,Support Devices,Asian,359,340,0.8540247678018577
BiomedCLIP,Support Devices,Other,878,825,0.7571869639794169
XRV-DenseNet-nih,Atelectasis,White,5340,5179,0.6796714874571101
XRV-DenseNet-nih,Atelectasis,Black,826,789,0.5537628883636488
XRV-DenseNet-nih,Atelectasis,Asian,197,192,0.6510416666666666
XRV-DenseNet-nih,Atelectasis,Other,620,602,0.6635289774824659
XRV-DenseNet-nih,Cardiomegaly,White,6459,4779,0.8010808696778564
XRV-DenseNet-nih,Cardiomegaly,Black,1333,1039,0.8096351148736685
XRV-DenseNet-nih,Cardiomegaly,Asian,281,194,0.746948690603152
XRV-DenseNet-nih,Cardiomegaly,Other,748,529,0.8198720770645053
XRV-DenseNet-nih,Consolidation,White,1925,1217,0.7800219582283006
XRV-DenseNet-nih,Consolidation,Black,419,200,0.7795205479452054
XRV-DenseNet-nih,Consolidation,Asian,106,72,0.8255718954248366
XRV-DenseNet-nih,Consolidation,Other,236,113,0.8040866249370457
XRV-DenseNet-nih,Edema,White,5718,3131,0.827089282740262
XRV-DenseNet-nih,Edema,Black,1093,555,0.8533976355537695
XRV-DenseNet-nih,Edema,Asian,228,117,0.8362978362978364
XRV-DenseNet-nih,Edema,Other,685,319,0.7983538037240695
XRV-DenseNet-nih,Enlarged Cardiomediastinum,White,1346,816,0.7549782648908621
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Black,223,120,0.7716828478964401
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Asian,71,50,0.680952380952381
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Other,194,106,0.8103559176672385
XRV-DenseNet-nih,Lung Opacity,White,5827,5535,0.6782399673311801
XRV-DenseNet-nih,Lung Opacity,Black,1098,1018,0.6032170923379175
XRV-DenseNet-nih,Lung Opacity,Asian,293,278,0.759232613908873
XRV-DenseNet-nih,Lung Opacity,Other,681,628,0.6408785001802668
XRV-DenseNet-nih,Pleural Effusion,White,9135,6451,0.7935360360724582
XRV-DenseNet-nih,Pleural Effusion,Black,1390,804,0.7617288981712598
XRV-DenseNet-nih,Pleural Effusion,Asian,387,266,0.7613247996023116
XRV-DenseNet-nih,Pleural Effusion,Other,1046,635,0.8069659175814702
XRV-DenseNet-nih,Pneumonia,White,3927,1635,0.7046034338291411
XRV-DenseNet-nih,Pneumonia,Black,872,324,0.7120167612868342
XRV-DenseNet-nih,Pneumonia,Asian,227,105,0.6562060889929743
XRV-DenseNet-nih,Pneumonia,Other,541,205,0.7065766550522647
XRV-DenseNet-nih,Pneumothorax,White,5861,1163,0.6327071727344507
XRV-DenseNet-nih,Pneumothorax,Black,895,166,0.650660254185466
XRV-DenseNet-nih,Pneumothorax,Asian,289,61,0.7044147253379349
XRV-DenseNet-nih,Pneumothorax,Other,653,100,0.6174864376130199
XRV-DenseNet-nih,Support Devices,White,8281,7943,0.6752475291779372
XRV-DenseNet-nih,Support Devices,Black,1188,1127,0.6474755262047799
XRV-DenseNet-nih,Support Devices,Asian,359,340,0.7047987616099071
XRV-DenseNet-nih,Support Devices,Other,878,825,0.704722698684963
CLIP-ViT-B16,Atelectasis,White,5340,5179,0.6945883938840444
CLIP-ViT-B16,Atelectasis,Black,826,789,0.6691330113383345
CLIP-ViT-B16,Atelectasis,Asian,197,192,0.5635416666666666
CLIP-ViT-B16,Atelectasis,Other,620,602,0.6638058324104836
CLIP-ViT-B16,Cardiomegaly,White,6459,4779,0.7718866768301796
CLIP-ViT-B16,Cardiomegaly,Black,1333,1039,0.7906215421683591
CLIP-ViT-B16,Cardiomegaly,Asian,281,194,0.7755658253347553
CLIP-ViT-B16,Cardiomegaly,Other,748,529,0.7967043875322612
CLIP-ViT-B16,Consolidation,White,1925,1217,0.8301382486339939
CLIP-ViT-B16,Consolidation,Black,419,200,0.8381963470319636
CLIP-ViT-B16,Consolidation,Asian,106,72,0.8357843137254902
CLIP-ViT-B16,Consolidation,Other,236,113,0.8737319231599396
CLIP-ViT-B16,Edema,White,5718,3131,0.851104156015811
CLIP-ViT-B16,Edema,Black,1093,555,0.8458019357647608
CLIP-ViT-B16,Edema,Asian,228,117,0.849079849079849
CLIP-ViT-B16,Edema,Other,685,319,0.8158435685287013
CLIP-ViT-B16,Enlarged Cardiomediastinum,White,1346,816,0.7490982241953386
CLIP-ViT-B16,Enlarged Cardiomediastinum,Black,223,120,0.7718446601941746
CLIP-ViT-B16,Enlarged Cardiomediastinum,Asian,71,50,0.7723809523809523
CLIP-ViT-B16,Enlarged Cardiomediastinum,Other,194,106,0.7546097770154374
CLIP-ViT-B16,Lung Opacity,White,5827,5535,0.6890553266263256
CLIP-ViT-B16,Lung Opacity,Black,1098,1018,0.7106581532416503
CLIP-ViT-B16,Lung Opacity,Asian,293,278,0.7774580335731414
CLIP-ViT-B16,Lung Opacity,Other,681,628,0.7144573969474823
CLIP-ViT-B16,Pleural Effusion,White,9135,6451,0.8285632999516475
CLIP-ViT-B16,Pleural Effusion,Black,1390,804,0.8153154874093697
CLIP-ViT-B16,Pleural Effusion,Asian,387,266,0.830236748897036
CLIP-ViT-B16,Pleural Effusion,Other,1046,635,0.8395271758913347
CLIP-ViT-B16,Pneumonia,White,3927,1635,0.7195211638940925
CLIP-ViT-B16,Pneumonia,Black,872,324,0.7236640533477516
CLIP-ViT-B16,Pneumonia,Asian,227,105,0.6333333333333334
CLIP-ViT-B16,Pneumonia,Other,541,205,0.7019744483159118
CLIP-ViT-B16,Pneumothorax,White,5861,1163,0.6706664660727183
CLIP-ViT-B16,Pneumothorax,Black,895,166,0.7166691457186772
CLIP-ViT-B16,Pneumothorax,Asian,289,61,0.7275668679896463
CLIP-ViT-B16,Pneumothorax,Other,653,100,0.6340506329113925
CLIP-ViT-B16,Support Devices,White,8281,7943,0.7373393416256508
CLIP-ViT-B16,Support Devices,Black,1188,1127,0.7036670691084702
CLIP-ViT-B16,Support Devices,Asian,359,340,0.7461300309597523
CLIP-ViT-B16,Support Devices,Other,878,825,0.7681189251000573
ConvNeXtV2-Base,Atelectasis,White,5340,5179,0.6431431761569357
ConvNeXtV2-Base,Atelectasis,Black,826,789,0.5999725961703148
ConvNeXtV2-Base,Atelectasis,Asian,197,192,0.6510416666666666
ConvNeXtV2-Base,Atelectasis,Other,620,602,0.6004983388704319
ConvNeXtV2-Base,Cardiomegaly,White,6459,4779,0.815278898753475
ConvNeXtV2-Base,Cardiomegaly,Black,1333,1039,0.8189291115868869
ConvNeXtV2-Base,Cardiomegaly,Asian,281,194,0.7573764664059722
ConvNeXtV2-Base,Cardiomegaly,Other,748,529,0.8074336863730137
ConvNeXtV2-Base,Consolidation,White,1925,1217,0.8587222446601581
ConvNeXtV2-Base,Consolidation,Black,419,200,0.8544977168949772
ConvNeXtV2-Base,Consolidation,Asian,106,72,0.7888071895424836
ConvNeXtV2-Base,Consolidation,Other,236,113,0.8772573566443629
ConvNeXtV2-Base,Edema,White,5718,3131,0.8773141189326235
ConvNeXtV2-Base,Edema,Black,1093,555,0.8813490069995644
ConvNeXtV2-Base,Edema,Asian,228,117,0.8459228459228458
ConvNeXtV2-Base,Edema,Other,685,319,0.85110574370043
