model,finding,dimension,group,n,auroc,ece,sensitivity,specificity,fpr,fnr
DINOv2-base,Lung Opacity,Race,Other,681,0.7409566157913712,0.022412912267685197,0.7054140127388535,0.6792452830188679,0.3207547169811321,0.2945859872611465
DINOv2-base,Pleural Effusion,Gender,Female,5712,0.8955786361588094,0.015903478493400822,0.8556383251990752,0.7910940076965366,0.2089059923034634,0.14436167480092477
DINOv2-base,Pleural Effusion,Gender,Male,6990,0.8744837968580992,0.026800817658861765,0.820659062103929,0.7734929078014184,0.22650709219858156,0.17934093789607097
DINOv2-base,Pleural Effusion,Age,<50,2081,0.8833724420493954,0.023491584378117845,0.7555350553505535,0.8565697091273822,0.14343029087261783,0.24446494464944646
DINOv2-base,Pleural Effusion,Age,50-70,5288,0.8791390312737118,0.02414414311167449,0.8079295154185022,0.8066914498141264,0.19330855018587356,0.19207048458149778
DINOv2-base,Pleural Effusion,Age,70+,5333,0.869439282009177,0.016882788114419747,0.8811019816336394,0.6786610878661088,0.3213389121338912,0.1188980183663606
DINOv2-base,Pleural Effusion,Race,White,9135,0.8822529161134689,0.016353447956336697,0.8483955975817703,0.763785394932936,0.23621460506706404,0.1516044024182297
DINOv2-base,Pleural Effusion,Race,Black,1390,0.8543014449934627,0.027313138476435364,0.7487562189054726,0.8139931740614335,0.18600682593856654,0.2512437810945274
DINOv2-base,Pleural Effusion,Race,Asian,387,0.8667743739514074,0.03545483229452423,0.8458646616541353,0.7768595041322314,0.22314049586776863,0.15413533834586468
DINOv2-base,Pleural Effusion,Race,Other,1046,0.887472460103071,0.02331840773201691,0.8031496062992126,0.8102189781021898,0.1897810218978102,0.19685039370078738
DINOv2-base,Pneumonia,Gender,Female,2800,0.7406718712884726,0.029253395647834288,0.6019503546099291,0.7511961722488039,0.24880382775119614,0.3980496453900709
DINOv2-base,Pneumonia,Gender,Male,3183,0.7507743824848171,0.03471839009196994,0.6563444108761329,0.7299623453469607,0.2700376546530393,0.34365558912386707
DINOv2-base,Pneumonia,Age,<50,1330,0.7498944941628142,0.01861073156989431,0.5691382765531062,0.8038507821901324,0.1961492178098676,0.4308617234468938
DINOv2-base,Pneumonia,Age,50-70,2601,0.7489551174032298,0.026045869673623913,0.5961722488038278,0.7724935732647815,0.22750642673521848,0.4038277511961722
DINOv2-base,Pneumonia,Age,70+,2052,0.7344977434459813,0.04407398919137159,0.7059471365638766,0.6494755244755245,0.3505244755244755,0.29405286343612336
DINOv2-base,Pneumonia,Race,White,3927,0.7503970731863522,0.029323792238671164,0.6501529051987768,0.7264397905759162,0.27356020942408377,0.3498470948012232
DINOv2-base,Pneumonia,Race,Black,872,0.7308732089753986,0.03195008834861563,0.5864197530864198,0.7572992700729927,0.2427007299270073,0.4135802469135802
DINOv2-base,Pneumonia,Race,Asian,227,0.7127244340359095,0.09201831684837777,0.6476190476190476,0.6229508196721312,0.3770491803278688,0.35238095238095235
DINOv2-base,Pneumonia,Race,Other,541,0.751335656213705,0.05002323361927853,0.6195121951219512,0.7708333333333334,0.22916666666666663,0.3804878048780488
DINOv2-base,Pneumothorax,Gender,Female,3465,0.7181085668178404,0.02978706972761845,0.6173228346456693,0.711660777385159,0.288339222614841,0.3826771653543307
DINOv2-base,Pneumothorax,Gender,Male,4825,0.6913714077731857,0.04305515234226531,0.5804828973843058,0.6914643696162882,0.3085356303837118,0.4195171026156942
DINOv2-base,Pneumothorax,Age,<50,1761,0.7212104033532606,0.06624838975782639,0.6031746031746031,0.7015151515151515,0.29848484848484846,0.39682539682539686
DINOv2-base,Pneumothorax,Age,50-70,3471,0.6920451112346809,0.03810667984951618,0.5641421947449768,0.7248583569405099,0.27514164305949007,0.43585780525502316
DINOv2-base,Pneumothorax,Age,70+,3058,0.7040391511474284,0.04401926284035327,0.6247689463955638,0.6714342471195868,0.32856575288041323,0.3752310536044362
DINOv2-base,Pneumothorax,Race,White,5861,0.6968044432291671,0.040991564822453086,0.592433361994841,0.6960408684546615,0.3039591315453385,0.407566638005159
DINOv2-base,Pneumothorax,Race,Black,895,0.7507561108632059,0.02103417919673526,0.6144578313253012,0.7379972565157751,0.2620027434842249,0.3855421686746988
DINOv2-base,Pneumothorax,Race,Asian,289,0.7238280126545873,0.06758882795716224,0.7868852459016393,0.5307017543859649,0.4692982456140351,0.21311475409836067
DINOv2-base,Pneumothorax,Race,Other,653,0.7285533453887885,0.05068709027804926,0.53,0.72875226039783,0.27124773960216997,0.47
DINOv2-base,Support Devices,Gender,Female,4742,0.7217438621676929,0.015404888728211056,0.7357948264426266,0.6027397260273972,0.3972602739726028,0.2642051735573734
