model,target,task,n_test,prevalence,linear_auroc,linear_auroc_ci_lo,linear_auroc_ci_hi,linear_auprc,mlp_auroc_mean,mlp_auroc_std,mlp_auroc_ensemble,perm_p,linear_mae,linear_mae_ci_lo,linear_mae_ci_hi,linear_r2,mlp_mae_mean,mlp_mae_std
BiomedCLIP,ckd,binary,35471,0.2970179857206643,0.7202028105921192,0.7149468635678096,0.7256501232246423,0.5138272504427532,0.7103418088955487,0.0007825107681470531,0.7115329025995392,,,,,,,
BiomedCLIP,heart_failure,binary,35471,0.3393011188514108,0.7941853470777362,0.7894470662983288,0.7987862241491539,0.6689311331283123,0.787236898593423,0.00046562980024066774,0.7879429765254863,,,,,,,
BiomedCLIP,copd,binary,35471,0.2060619985001062,0.7180823134777443,0.7116128515672729,0.7247424005835642,0.41943814799146545,0.7169391639160401,0.0007393937574174732,0.7178781557239079,,,,,,,
BiomedCLIP,smoking_history,binary,35471,0.0838900135684034,0.6480764928815201,0.6375107489810956,0.6593371202204604,0.12348436409409566,0.626918137028567,0.003664412915296777,0.6283854390782474,0.0,,,,,,
BiomedCLIP,cancer_history,binary,35471,0.30445676534465044,0.6798739634936033,0.6742065789796718,0.6863338821736439,0.48956392110194885,0.678068146312767,0.0010333133198407811,0.679349917064647,,,,,,,
BiomedCLIP,atrial_fibrillation,binary,35471,0.3044264206725246,0.792077770277653,0.7870116331759904,0.7970537188203558,0.6254621120246261,0.7741567338421017,0.000547101906216872,0.7749881384650824,,,,,,,
BiomedCLIP,coronary_artery_disease,binary,35471,0.3164342409280268,0.7383845389242247,0.7330029325655244,0.7439621652756396,0.5691771673806795,0.7305883990228204,0.0004998434043798374,0.7315274585395803,,,,,,,
BiomedCLIP,obesity,binary,35471,0.18592614106804575,0.8532445035549455,0.8485592352051597,0.8579047209626214,0.594072052974944,0.8315529820626724,0.0008841423515259834,0.8322778744842616,,,,,,,
BiomedCLIP,anemia,binary,35471,0.48976300811069734,0.6775671747259907,0.671896266583832,0.6832701539369099,0.632814870285124,0.6667487760280915,0.0004957725260928242,0.6676526937142491,,,,,,,
BiomedCLIP,depression,binary,35471,0.2924229353701833,0.5873757397382537,0.5811954087894743,0.5939672126858428,0.35812787211843966,0.5876358317966976,0.0008344767060845034,0.5898378401282028,0.0,,,,,,
