model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+,gap_baseline,auroc_baseline,gap_reduction,gap_reduction_pct,auroc_cost
CLIP-ViT-B16,top3,3,Lung Opacity,Gender,0.680078,0.017695,0.690090,0.672395,,,,0.033755,0.702691,0.016060,47.577342,0.022613
CLIP-ViT-B16,top3,3,Lung Opacity,Age,0.680078,0.050672,,,0.685297,0.710917,0.660245,0.047071,0.702691,-0.003601,-7.650279,0.022613
CLIP-ViT-B16,top3,3,Pleural Effusion,Gender,0.799422,0.004028,0.801813,0.797785,,,,0.016701,0.833583,0.012674,75.884966,0.034161
CLIP-ViT-B16,top3,3,Pleural Effusion,Age,0.799422,0.031273,,,0.823527,0.814971,0.792254,0.036856,0.833583,0.005584,15.150078,0.034161
CLIP-ViT-B16,top3,3,Pneumonia,Gender,0.710765,0.003359,0.709024,0.712382,,,,0.006461,0.717162,0.003103,48.020544,0.006397
CLIP-ViT-B16,top3,3,Pneumonia,Age,0.710765,0.006941,,,0.709571,0.714444,0.707503,0.008534,0.717162,0.001593,18.665311,0.006397
CLIP-ViT-B16,top3,3,Pneumothorax,Gender,0.674451,0.040563,0.698642,0.658080,,,,0.037597,0.672665,-0.002966,-7.889564,-0.001786
CLIP-ViT-B16,top3,3,Pneumothorax,Age,0.674451,0.027072,,,0.693452,0.666912,0.666380,0.034761,0.672665,0.007689,22.120100,-0.001786
CLIP-ViT-B16,top3,3,Support Devices,Gender,0.737609,0.002200,0.739020,0.736820,,,,0.007679,0.745818,0.005479,71.351417,0.008209
CLIP-ViT-B16,top3,3,Support Devices,Age,0.737609,0.083985,,,0.800881,0.716896,0.720128,0.083582,0.745818,-0.000403,-0.481914,0.008209
CLIP-ViT-B16,all_confounders,9,Atelectasis,Gender,0.671999,0.054720,0.642412,0.697132,,,,0.054645,0.695069,-0.000074,-0.135974,0.023070
CLIP-ViT-B16,all_confounders,9,Atelectasis,Age,0.671999,0.147651,,,0.779872,0.632222,0.670059,0.132549,0.695069,-0.015102,-11.393176,0.023070
CLIP-ViT-B16,all_confounders,9,Cardiomegaly,Gender,0.701350,0.008914,0.707008,0.698093,,,,0.013939,0.782114,0.005025,36.047773,0.080764
CLIP-ViT-B16,all_confounders,9,Cardiomegaly,Age,0.701350,0.042707,,,0.744606,0.704066,0.701899,0.052554,0.782114,0.009847,18.736937,0.080764
CLIP-ViT-B16,all_confounders,9,Consolidation,Gender,0.819523,0.008197,0.822696,0.814499,,,,0.005032,0.845705,-0.003164,-62.876674,0.026182
CLIP-ViT-B16,all_confounders,9,Consolidation,Age,0.819523,0.016157,,,0.814154,0.830311,0.819145,0.012290,0.845705,-0.003866,-31.457920,0.026182
CLIP-ViT-B16,all_confounders,9,Edema,Gender,0.809565,0.011317,0.815510,0.804193,,,,0.015343,0.849966,0.004026,26.242043,0.040401
CLIP-ViT-B16,all_confounders,9,Edema,Age,0.809565,0.028191,,,0.820493,0.827044,0.798853,0.038452,0.849966,0.010261,26.685678,0.040401
CLIP-ViT-B16,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.719618,0.038304,0.741658,0.703354,,,,0.023419,0.762605,-0.014885,-63.559181,0.042987
CLIP-ViT-B16,all_confounders,9,Enlarged Cardiomediastinum,Age,0.719618,0.077221,,,0.713333,0.755106,0.677885,0.071898,0.762605,-0.005324,-7.404351,0.042987
CLIP-ViT-B16,all_confounders,9,Lung Opacity,Gender,0.678425,0.007763,0.682856,0.675093,,,,0.033755,0.702691,0.025992,77.003064,0.024266
CLIP-ViT-B16,all_confounders,9,Lung Opacity,Age,0.678425,0.040111,,,0.675261,0.705784,0.665673,0.047071,0.702691,0.006960,14.786459,0.024266
CLIP-ViT-B16,all_confounders,9,Pleural Effusion,Gender,0.792747,0.007085,0.796797,0.789712,,,,0.016701,0.833583,0.009616,57.578887,0.040836
CLIP-ViT-B16,all_confounders,9,Pleural Effusion,Age,0.792747,0.029760,,,0.812802,0.807571,0.783042,0.036856,0.833583,0.007097,19.254879,0.040836
CLIP-ViT-B16,all_confounders,9,Pneumonia,Gender,0.702442,0.005395,0.699515,0.704911,,,,0.006461,0.717162,0.001066,16.498502,0.014720
CLIP-ViT-B16,all_confounders,9,Pneumonia,Age,0.702442,0.007983,,,0.701996,0.706147,0.698164,0.008534,0.717162,0.000551,6.453454,0.014720
CLIP-ViT-B16,all_confounders,9,Pneumothorax,Gender,0.670944,0.038903,0.694034,0.655131,,,,0.037597,0.672665,-0.001306,-3.474571,0.001721
CLIP-ViT-B16,all_confounders,9,Pneumothorax,Age,0.670944,0.029398,,,0.691706,0.662308,0.663651,0.034761,0.672665,0.005363,15.427442,0.001721
CLIP-ViT-B16,all_confounders,9,Support Devices,Gender,0.730500,0.006493,0.734261,0.727769,,,,0.007679,0.745818,0.001186,15.445325,0.015318
CLIP-ViT-B16,all_confounders,9,Support Devices,Age,0.730500,0.074493,,,0.786058,0.711564,0.713970,0.083582,0.745818,0.009088,10.873689,0.015318
ConvNeXtV2-Base,top3,3,Atelectasis,Gender,0.637402,0.029117,0.622483,0.651600,,,,0.005427,0.649827,-0.023690,-436.482441,0.012425
ConvNeXtV2-Base,top3,3,Atelectasis,Age,0.637402,0.139586,,,0.750284,0.610697,0.615963,0.141507,0.649827,0.001920,1.357159,0.012425
ConvNeXtV2-Base,top3,3,Cardiomegaly,Gender,0.730151,0.008820,0.725909,0.734729,,,,0.001414,0.816692,-0.007406,-523.665620,0.086541
ConvNeXtV2-Base,top3,3,Cardiomegaly,Age,0.730151,0.062736,,,0.782729,0.741403,0.719993,0.052754,0.816692,-0.009982,-18.921872,0.086541
ConvNeXtV2-Base,top3,3,Consolidation,Gender,0.854678,0.030928,0.870295,0.839367,,,,0.033808,0.866323,0.002880,8.517759,0.011645
ConvNeXtV2-Base,top3,3,Consolidation,Age,0.854678,0.009217,,,0.859748,0.863362,0.854145,0.011124,0.866323,0.001908,17.148288,0.011645
ConvNeXtV2-Base,top3,3,Edema,Gender,0.842460,0.011790,0.836057,0.847847,,,,0.002015,0.877315,-0.009774,-485.029377,0.034855
ConvNeXtV2-Base,top3,3,Edema,Age,0.842460,0.022724,,,0.848839,0.857501,0.834777,0.026575,0.877315,0.003851,14.491658,0.034855
ConvNeXtV2-Base,top3,3,Enlarged Cardiomediastinum,Gender,0.708095,0.017099,0.699826,0.716926,,,,0.011354,0.741445,-0.005745,-50.601241,0.033349
ConvNeXtV2-Base,top3,3,Enlarged Cardiomediastinum,Age,0.708095,0.075993,,,0.709492,0.737132,0.661139,0.067436,0.741445,-0.008557,-12.689114,0.033349
ConvNeXtV2-Base,top3,3,Lung Opacity,Gender,0.672357,0.006505,0.676038,0.669533,,,,0.015823,0.691929,0.009318,58.886676,0.019572
ConvNeXtV2-Base,top3,3,Lung Opacity,Age,0.672357,0.055004,,,0.703945,0.686732,0.648941,0.057696,0.691929,0.002692,4.666148,0.019572
ConvNeXtV2-Base,top3,3,Pleural Effusion,Gender,0.839398,0.006967,0.843359,0.836392,,,,0.018107,0.868205,0.011140,61.522669,0.028807
ConvNeXtV2-Base,top3,3,Pleural Effusion,Age,0.839398,0.022980,,,0.858529,0.849807,0.835548,0.028413,0.868205,0.005433,19.120287,0.028807
ConvNeXtV2-Base,top3,3,Pneumonia,Gender,0.732921,0.003914,0.730773,0.734686,,,,0.006647,0.738390,0.002734,41.126185,0.005469
ConvNeXtV2-Base,top3,3,Pneumonia,Age,0.732921,0.008951,,,0.732886,0.737663,0.728712,0.009458,0.738390,0.000507,5.359744,0.005469
ConvNeXtV2-Base,top3,3,Pneumothorax,Gender,0.696289,0.034651,0.716297,0.681647,,,,0.030041,0.695334,-0.004609,-15.343469,-0.000954
ConvNeXtV2-Base,top3,3,Pneumothorax,Age,0.696289,0.035846,,,0.711996,0.676150,0.701690,0.034061,0.695334,-0.001785,-5.241970,-0.000954
ConvNeXtV2-Base,top3,3,Support Devices,Gender,0.739962,0.021949,0.728352,0.750301,,,,0.025178,0.747330,0.003229,12.825960,0.007368
ConvNeXtV2-Base,top3,3,Support Devices,Age,0.739962,0.084690,,,0.784654,0.746707,0.699964,0.082470,0.747330,-0.002220,-2.691940,0.007368
ConvNeXtV2-Base,all_confounders,9,Atelectasis,Gender,0.630611,0.020286,0.620402,0.640688,,,,0.005427,0.649827,-0.014858,-273.768934,0.019216
ConvNeXtV2-Base,all_confounders,9,Atelectasis,Age,0.630611,0.146588,,,0.746690,0.600102,0.613018,0.141507,0.649827,-0.005081,-3.590919,0.019216
ConvNeXtV2-Base,all_confounders,9,Cardiomegaly,Gender,0.727484,0.008560,0.723600,0.732159,,,,0.001414,0.816692,-0.007146,-505.295215,0.089207
ConvNeXtV2-Base,all_confounders,9,Cardiomegaly,Age,0.727484,0.058074,,,0.776382,0.737307,0.718307,0.052754,0.816692,-0.005321,-10.086146,0.089207
ConvNeXtV2-Base,all_confounders,9,Consolidation,Gender,0.841080,0.033981,0.858097,0.824116,,,,0.033808,0.866323,-0.000173,-0.511521,0.025243
ConvNeXtV2-Base,all_confounders,9,Consolidation,Age,0.841080,0.010238,,,0.847642,0.849232,0.838994,0.011124,0.866323,0.000887,7.969312,0.025243
ConvNeXtV2-Base,all_confounders,9,Edema,Gender,0.839331,0.013805,0.831850,0.845655,,,,0.002015,0.877315,-0.011790,-585.055349,0.037984
ConvNeXtV2-Base,all_confounders,9,Edema,Age,0.839331,0.017713,,,0.841284,0.851295,0.833582,0.026575,0.877315,0.008863,33.349105,0.037984
ConvNeXtV2-Base,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.702820,0.016110,0.695308,0.711418,,,,0.011354,0.741445,-0.004756,-41.887381,0.038625
ConvNeXtV2-Base,all_confounders,9,Enlarged Cardiomediastinum,Age,0.702820,0.072173,,,0.702033,0.730729,0.658556,0.067436,0.741445,-0.004737,-7.024963,0.038625
ConvNeXtV2-Base,all_confounders,9,Lung Opacity,Gender,0.669300,0.003691,0.667199,0.670890,,,,0.015823,0.691929,0.012132,76.671345,0.022629
ConvNeXtV2-Base,all_confounders,9,Lung Opacity,Age,0.669300,0.040197,,,0.692663,0.681205,0.652467,0.057696,0.691929,0.017500,30.330849,0.022629
ConvNeXtV2-Base,all_confounders,9,Pleural Effusion,Gender,0.833124,0.010957,0.839313,0.828355,,,,0.018107,0.868205,0.007150,39.486082,0.035081
ConvNeXtV2-Base,all_confounders,9,Pleural Effusion,Age,0.833124,0.020998,,,0.848792,0.842504,0.827794,0.028413,0.868205,0.007415,26.097827,0.035081
ConvNeXtV2-Base,all_confounders,9,Pneumonia,Gender,0.724717,0.006495,0.721051,0.727546,,,,0.006647,0.738390,0.000152,2.291594,0.013673
ConvNeXtV2-Base,all_confounders,9,Pneumonia,Age,0.724717,0.008852,,,0.724009,0.729275,0.720423,0.009458,0.738390,0.000606,6.408294,0.013673
ConvNeXtV2-Base,all_confounders,9,Pneumothorax,Gender,0.693804,0.032074,0.712273,0.680198,,,,0.030041,0.695334,-0.002033,-6.768219,0.001531
ConvNeXtV2-Base,all_confounders,9,Pneumothorax,Age,0.693804,0.038622,,,0.709780,0.671158,0.702204,0.034061,0.695334,-0.004561,-13.390374,0.001531
ConvNeXtV2-Base,all_confounders,9,Support Devices,Gender,0.733447,0.021395,0.721998,0.743393,,,,0.025178,0.747330,0.003783,15.025314,0.013883
ConvNeXtV2-Base,all_confounders,9,Support Devices,Age,0.733447,0.077690,,,0.770765,0.742780,0.693074,0.082470,0.747330,0.004779,5.795378,0.013883
