model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+,gap_baseline,auroc_baseline,gap_reduction,gap_reduction_pct,auroc_cost
ResNet50-ImageNet,all_confounders,9,Support Devices,Gender,0.680105,0.013091,0.672531,0.685622,,,,0.017043,0.699298,0.003953,23.192422,0.019192
ResNet50-ImageNet,all_confounders,9,Support Devices,Age,0.680105,0.060969,,,0.718989,0.676897,0.658020,0.071400,0.699298,0.010432,14.609981,0.019192
DINOv2-base,top3,3,Atelectasis,Gender,0.674648,0.048514,0.647993,0.696508,,,,0.039772,0.696113,-0.008743,-21.982013,0.021465
DINOv2-base,top3,3,Atelectasis,Age,0.674648,0.141468,,,0.746228,0.697380,0.604760,0.138959,0.696113,-0.002510,-1.805940,0.021465
DINOv2-base,top3,3,Cardiomegaly,Gender,0.728687,0.007330,0.733306,0.725976,,,,0.005920,0.813224,-0.001411,-23.832796,0.084537
DINOv2-base,top3,3,Cardiomegaly,Age,0.728687,0.050278,,,0.767618,0.743079,0.717340,0.053331,0.813224,0.003053,5.723977,0.084537
DINOv2-base,top3,3,Consolidation,Gender,0.870982,0.022205,0.882301,0.860096,,,,0.020868,0.882760,-0.001337,-6.408530,0.011779
DINOv2-base,top3,3,Consolidation,Age,0.870982,0.016803,,,0.874611,0.867543,0.884345,0.013376,0.882760,-0.003427,-25.618546,0.011779
DINOv2-base,top3,3,Edema,Gender,0.857177,0.011999,0.850580,0.862579,,,,0.003054,0.889433,-0.008945,-292.945732,0.032256
DINOv2-base,top3,3,Edema,Age,0.857177,0.031583,,,0.866257,0.876314,0.844730,0.032743,0.889433,0.001160,3.542445,0.032256
DINOv2-base,top3,3,Enlarged Cardiomediastinum,Gender,0.733429,0.030096,0.752081,0.721985,,,,0.029492,0.773702,-0.000604,-2.048821,0.040273
DINOv2-base,top3,3,Enlarged Cardiomediastinum,Age,0.733429,0.086068,,,0.733575,0.770842,0.684774,0.077712,0.773702,-0.008357,-10.753517,0.040273
DINOv2-base,top3,3,Lung Opacity,Gender,0.693764,0.007126,0.697667,0.690541,,,,0.017093,0.718800,0.009967,58.309595,0.025035
DINOv2-base,top3,3,Lung Opacity,Age,0.693764,0.061113,,,0.702986,0.728434,0.667321,0.063357,0.718800,0.002243,3.540787,0.025035
DINOv2-base,top3,3,Pleural Effusion,Gender,0.856334,0.007541,0.860793,0.853252,,,,0.021095,0.883672,0.013553,64.249809,0.027338
DINOv2-base,top3,3,Pleural Effusion,Age,0.856334,0.014963,,,0.865613,0.869258,0.854295,0.013933,0.883672,-0.001030,-7.393322,0.027338
