policy,attribute,finding,abs_log_or
U-Ignore,hypothyroidism,Cardiomegaly,0.37888639140453534
U-Ignore,hypothyroidism,Consolidation,0.06843569158025205
U-Ignore,hypothyroidism,Edema,0.2500533419386111
U-Ignore,hypothyroidism,Enlarged Cardiomediastinum,0.26685138402206543
U-Ignore,hypothyroidism,Lung Opacity,0.13781410560683985
U-Ignore,hypothyroidism,Pleural Effusion,0.2783006171401696
U-Ignore,hypothyroidism,Pneumonia,0.07199890028417374
U-Ignore,hypothyroidism,Pneumothorax,0.23593394315739258
U-Ignore,hypothyroidism,Support Devices,0.1892409820656771
U-Ignore,ckd,Atelectasis,0.3069711090318378
U-Ignore,ckd,Cardiomegaly,1.0301926958135958
U-Ignore,ckd,Consolidation,0.0672095491839313
U-Ignore,ckd,Edema,0.6416265158086294
U-Ignore,ckd,Enlarged Cardiomediastinum,0.7071689434571243
U-Ignore,ckd,Lung Opacity,0.22732903945355568
U-Ignore,ckd,Pleural Effusion,0.46826468511805414
U-Ignore,ckd,Pneumonia,0.1685004861001862
U-Ignore,ckd,Pneumothorax,0.40742015745523263
U-Ignore,ckd,Support Devices,0.14634927881134233
U-Ignore,aki,Atelectasis,0.25229928525641127
U-Ignore,aki,Cardiomegaly,0.7608665592933401
U-Ignore,aki,Consolidation,0.494539898125215
U-Ignore,aki,Edema,0.7942342433283185
U-Ignore,aki,Enlarged Cardiomediastinum,0.6543629642626895
U-Ignore,aki,Lung Opacity,0.3380673055777057
U-Ignore,aki,Pleural Effusion,0.6113120956425078
U-Ignore,aki,Pneumonia,0.3803660975541586
U-Ignore,aki,Pneumothorax,0.3794000894391928
U-Ignore,aki,Support Devices,0.5298926982774699
U-Ignore,copd,Atelectasis,0.03079055083819488
U-Ignore,copd,Cardiomegaly,0.3239640460729778
U-Ignore,copd,Consolidation,0.2594428173799097
U-Ignore,copd,Edema,0.4422046180137658
U-Ignore,copd,Enlarged Cardiomediastinum,0.44011547432336545
U-Ignore,copd,Lung Opacity,0.47817112198215767
U-Ignore,copd,Pleural Effusion,0.29073065060502434
U-Ignore,copd,Pneumonia,0.32669750348544535
U-Ignore,copd,Pneumothorax,0.23989840911882557
U-Ignore,copd,Support Devices,0.12920113482609397
U-Ignore,asthma,Atelectasis,0.11224496803063441
U-Ignore,asthma,Cardiomegaly,0.11680024801245828
U-Ignore,asthma,Consolidation,0.18432162054879792
U-Ignore,asthma,Edema,0.010835423975649176
U-Ignore,asthma,Enlarged Cardiomediastinum,0.050269517442569946
U-Ignore,asthma,Lung Opacity,0.042090052111766474
U-Ignore,asthma,Pleural Effusion,0.15684332967100048
U-Ignore,asthma,Pneumonia,0.06281739215099623
U-Ignore,asthma,Pneumothorax,0.037463080954796515
U-Ignore,asthma,Support Devices,0.13526767227515102
U-Ignore,respiratory_failure,Atelectasis,0.07327172153806805
U-Ignore,respiratory_failure,Cardiomegaly,0.529620028888794
U-Ignore,respiratory_failure,Consolidation,0.47452317591214116
U-Ignore,respiratory_failure,Edema,0.42721332167172277
U-Ignore,respiratory_failure,Enlarged Cardiomediastinum,0.49676674920400316
U-Ignore,respiratory_failure,Lung Opacity,0.38153886496047773
U-Ignore,respiratory_failure,Pleural Effusion,0.29466193975599325
U-Ignore,respiratory_failure,Pneumonia,0.2584935877079821
U-Ignore,respiratory_failure,Pneumothorax,0.148379420936112
U-Ignore,respiratory_failure,Support Devices,0.34396847529958685
U-Ignore,pulmonary_fibrosis,Atelectasis,0.3234336486719405
U-Ignore,pulmonary_fibrosis,Cardiomegaly,0.2874208708480246
U-Ignore,pulmonary_fibrosis,Consolidation,0.11491293989874891
U-Ignore,pulmonary_fibrosis,Edema,0.5257339107162975
U-Ignore,pulmonary_fibrosis,Enlarged Cardiomediastinum,0.00753897938571733
U-Ignore,pulmonary_fibrosis,Lung Opacity,0.6253129375563616
U-Ignore,pulmonary_fibrosis,Pleural Effusion,0.4663835128689669
U-Ignore,pulmonary_fibrosis,Pneumonia,0.4853067356093555
U-Ignore,pulmonary_fibrosis,Pneumothorax,0.09328843500675466
U-Ignore,pulmonary_fibrosis,Support Devices,0.2523869779987943
U-Ignore,liver_disease,Atelectasis,0.07544560000514176
U-Ignore,liver_disease,Cardiomegaly,0.010309423864717695
U-Ignore,liver_disease,Consolidation,0.07531663497332115
U-Ignore,liver_disease,Edema,0.23669526025885906
U-Ignore,liver_disease,Enlarged Cardiomediastinum,0.02977921417025549
U-Ignore,liver_disease,Lung Opacity,0.03532692999576914
U-Ignore,liver_disease,Pleural Effusion,0.21432676122072572
U-Ignore,liver_disease,Pneumonia,0.07790141847832717
U-Ignore,liver_disease,Pneumothorax,0.14580544849606256
U-Ignore,liver_disease,Support Devices,0.36785321694159007
U-Ignore,anemia,Atelectasis,0.3096375022281342
U-Ignore,anemia,Cardiomegaly,0.5551243840643432
U-Ignore,anemia,Consolidation,0.5043675200415862
U-Ignore,anemia,Edema,0.5375080708545611
