model,domain,training_signal,ambient_dim,effective_rank,stable_rank,participation_ratio,isotropy_ratio,var_top1_pct,var_top10_pct,var_top50_pct,dims_for_90pct_var,dims_for_95pct_var,avg_cosine_similarity
ResNet50-ImageNet,General,Supervised,2048,109.99063778609901,5.600407120384869,22.283437987127908,3.7791287687217027e-07,17.85584473600338,46.434922913322495,71.68750029927484,275,535,0.0011908325
DINOv2-base,General,Self-supervised,768,90.35634689303475,7.6107999240901805,28.20501610785643,7.328794178303366e-06,13.139223340173972,46.07719652718827,75.03749138737085,156,267,0.0025775307
BiomedCLIP,General,Vision-Language,512,28.061947539403498,4.6584383328485615,13.032602876315343,4.482218435748336e-09,21.46642133155632,68.4715076130201,93.51809006476753,37,59,0.0014208956
XRV-DenseNet-nih,CXR-specific,Supervised,1024,5.5785822001261245,2.1424392159956054,3.573689585868264,1.917275880158119e-06,46.675769960423054,97.17979712110771,99.9490541088967,5,8,0.8890337
RAD-DINO,CXR-specific,Self-supervised,768,394.6268516157919,54.39526526163173,234.144567564233,6.739971916589231e-05,1.838395300014026,11.944758620993923,37.74847245855053,432,546,1.8392142e-05
CheXzero,CXR-specific,Vision-Language,512,20.73778219671145,2.906500594262497,6.948238945114325,3.5500386985761147e-09,34.40563549080377,76.35480350278962,92.88933653483953,31,78,0.0015084506
CheSS-ResNet50,CXR-specific,Self-supervised,2048,24.388302451163067,4.818629144453968,10.79983252389191,2.6812291251930603e-06,20.75279026506857,77.23934323332941,93.85106915747366,26,66,0.0035684789
