attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.675766,0.001008
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.699196,0.000102
stroke,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.645310,-0.000096
stroke,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.782675,0.002562
stroke,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.826624,-0.000574
stroke,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.865742,0.001972
stroke,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.703209,0.000570
stroke,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.648406,-0.001343
stroke,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.849599,0.000400
stroke,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722963,0.000102
stroke,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676810,-0.000035
stroke,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.695339,0.003959
diabetes,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.643113,0.002101
diabetes,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.767510,0.017726
diabetes,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.827462,-0.001411
diabetes,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.862608,0.005106
diabetes,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.700337,0.003442
diabetes,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.647767,-0.000704
diabetes,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.849247,0.000752
diabetes,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.724450,-0.001385
diabetes,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.671311,0.005464
diabetes,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697806,0.001492
hyperlipidemia,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.644335,0.000879
hyperlipidemia,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.765808,0.019428
hyperlipidemia,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.826647,-0.000597
hyperlipidemia,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.863301,0.004413
hyperlipidemia,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.695617,0.008162
hyperlipidemia,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.645936,0.001127
hyperlipidemia,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.848165,0.001834
hyperlipidemia,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.723904,-0.000839
hyperlipidemia,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.674884,0.001891
hyperlipidemia,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697551,0.001747
obesity,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.645406,-0.000192
obesity,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.771744,0.013493
obesity,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.825691,0.000359
obesity,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.866768,0.000946
obesity,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.699445,0.004334
obesity,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.647602,-0.000539
