attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop
stroke,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.718506,0.000293
stroke,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883316,0.000356
stroke,comorbidity,DINOv2-base,Pneumonia,0.745943,0.746093,-0.000150
stroke,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701891,0.000316
stroke,comorbidity,DINOv2-base,Support Devices,0.745245,0.740808,0.004437
diabetes,comorbidity,DINOv2-base,Atelectasis,0.696113,0.693774,0.002339
diabetes,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.796856,0.016368
diabetes,comorbidity,DINOv2-base,Consolidation,0.882760,0.883645,-0.000885
diabetes,comorbidity,DINOv2-base,Edema,0.889433,0.885800,0.003633
diabetes,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.770875,0.002827
diabetes,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.719844,-0.001045
diabetes,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883119,0.000553
diabetes,comorbidity,DINOv2-base,Pneumonia,0.745943,0.746665,-0.000722
diabetes,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.696256,0.005951
diabetes,comorbidity,DINOv2-base,Support Devices,0.745245,0.744858,0.000387
hyperlipidemia,comorbidity,DINOv2-base,Atelectasis,0.696113,0.692938,0.003175
hyperlipidemia,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.794362,0.018863
hyperlipidemia,comorbidity,DINOv2-base,Consolidation,0.882760,0.883551,-0.000791
hyperlipidemia,comorbidity,DINOv2-base,Edema,0.889433,0.886089,0.003344
hyperlipidemia,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.768723,0.004979
hyperlipidemia,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.716822,0.001977
hyperlipidemia,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.882012,0.001660
hyperlipidemia,comorbidity,DINOv2-base,Pneumonia,0.745943,0.746513,-0.000570
hyperlipidemia,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.699429,0.002778
hyperlipidemia,comorbidity,DINOv2-base,Support Devices,0.745245,0.744073,0.001172
obesity,comorbidity,DINOv2-base,Atelectasis,0.696113,0.697363,-0.001250
obesity,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.800766,0.012458
obesity,comorbidity,DINOv2-base,Consolidation,0.882760,0.882223,0.000538
obesity,comorbidity,DINOv2-base,Edema,0.889433,0.888666,0.000767
obesity,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.770575,0.003127
obesity,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.719050,-0.000250
obesity,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883767,-0.000095
obesity,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745004,0.000939
obesity,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.695050,0.007157
obesity,comorbidity,DINOv2-base,Support Devices,0.745245,0.745182,0.000063
hypothyroidism,comorbidity,DINOv2-base,Atelectasis,0.696113,0.694633,0.001480
hypothyroidism,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.810854,0.002370
hypothyroidism,comorbidity,DINOv2-base,Consolidation,0.882760,0.881894,0.000866
hypothyroidism,comorbidity,DINOv2-base,Edema,0.889433,0.886325,0.003108
hypothyroidism,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.773310,0.000392
hypothyroidism,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.717768,0.001032
hypothyroidism,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.882371,0.001301
hypothyroidism,comorbidity,DINOv2-base,Pneumonia,0.745943,0.744813,0.001130
hypothyroidism,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701678,0.000529
hypothyroidism,comorbidity,DINOv2-base,Support Devices,0.745245,0.743213,0.002033
ckd,comorbidity,DINOv2-base,Atelectasis,0.696113,0.691279,0.004834
ckd,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.782455,0.030769
ckd,comorbidity,DINOv2-base,Consolidation,0.882760,0.882469,0.000291
ckd,comorbidity,DINOv2-base,Edema,0.889433,0.877788,0.011645
ckd,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.766488,0.007214
ckd,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.718470,0.000330
ckd,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.878129,0.005543
ckd,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745158,0.000785
ckd,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.699809,0.002398
ckd,comorbidity,DINOv2-base,Support Devices,0.745245,0.745618,-0.000373
aki,comorbidity,DINOv2-base,Atelectasis,0.696113,0.692009,0.004104
aki,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.792543,0.020682
aki,comorbidity,DINOv2-base,Consolidation,0.882760,0.872840,0.009921
aki,comorbidity,DINOv2-base,Edema,0.889433,0.872456,0.016978
aki,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.759947,0.013755
aki,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.713085,0.005715
aki,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.872775,0.010898
aki,comorbidity,DINOv2-base,Pneumonia,0.745943,0.739959,0.005984
aki,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.700625,0.001582
aki,comorbidity,DINOv2-base,Support Devices,0.745245,0.734419,0.010826
copd,comorbidity,DINOv2-base,Atelectasis,0.696113,0.694113,0.002000
copd,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.809244,0.003981
copd,comorbidity,DINOv2-base,Consolidation,0.882760,0.877388,0.005372
copd,comorbidity,DINOv2-base,Edema,0.889433,0.882401,0.007032
copd,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.766485,0.007217
copd,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.703859,0.014941
copd,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.881034,0.002639
copd,comorbidity,DINOv2-base,Pneumonia,0.745943,0.743923,0.002020
copd,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.702531,-0.000324
copd,comorbidity,DINOv2-base,Support Devices,0.745245,0.743780,0.001465
asthma,comorbidity,DINOv2-base,Atelectasis,0.696113,0.695750,0.000363
asthma,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.813053,0.000171
asthma,comorbidity,DINOv2-base,Consolidation,0.882760,0.881794,0.000967
asthma,comorbidity,DINOv2-base,Edema,0.889433,0.889373,0.000061
asthma,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.773520,0.000182
asthma,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.718377,0.000423
asthma,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883393,0.000279
asthma,comorbidity,DINOv2-base,Pneumonia,0.745943,0.746159,-0.000216
asthma,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701581,0.000626
asthma,comorbidity,DINOv2-base,Support Devices,0.745245,0.745528,-0.000283
respiratory_failure,comorbidity,DINOv2-base,Atelectasis,0.696113,0.695964,0.000149
respiratory_failure,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.806198,0.007027
respiratory_failure,comorbidity,DINOv2-base,Consolidation,0.882760,0.876748,0.006012
respiratory_failure,comorbidity,DINOv2-base,Edema,0.889433,0.883427,0.006007
respiratory_failure,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.769206,0.004496
respiratory_failure,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.711912,0.006888
respiratory_failure,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.881254,0.002418
respiratory_failure,comorbidity,DINOv2-base,Pneumonia,0.745943,0.744861,0.001082
respiratory_failure,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.702328,-0.000121
respiratory_failure,comorbidity,DINOv2-base,Support Devices,0.745245,0.742773,0.002472
pulmonary_fibrosis,comorbidity,DINOv2-base,Atelectasis,0.696113,0.698133,-0.002020
pulmonary_fibrosis,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.813106,0.000118
pulmonary_fibrosis,comorbidity,DINOv2-base,Consolidation,0.882760,0.882623,0.000138
pulmonary_fibrosis,comorbidity,DINOv2-base,Edema,0.889433,0.887708,0.001725
pulmonary_fibrosis,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.773429,0.000273
pulmonary_fibrosis,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.714311,0.004489
pulmonary_fibrosis,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.884263,-0.000590
pulmonary_fibrosis,comorbidity,DINOv2-base,Pneumonia,0.745943,0.743808,0.002135
pulmonary_fibrosis,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.702206,0.000001
pulmonary_fibrosis,comorbidity,DINOv2-base,Support Devices,0.745245,0.744543,0.000702
liver_disease,comorbidity,DINOv2-base,Atelectasis,0.696113,0.695831,0.000282
liver_disease,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.813395,-0.000171
liver_disease,comorbidity,DINOv2-base,Consolidation,0.882760,0.883036,-0.000276
liver_disease,comorbidity,DINOv2-base,Edema,0.889433,0.888172,0.001262
liver_disease,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.774432,-0.000730
liver_disease,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.718823,-0.000023
liver_disease,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883094,0.000578
liver_disease,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745292,0.000651
liver_disease,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.703850,-0.001643
liver_disease,comorbidity,DINOv2-base,Support Devices,0.745245,0.742769,0.002476
anemia,comorbidity,DINOv2-base,Atelectasis,0.696113,0.685736,0.010377
anemia,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.799133,0.014091
anemia,comorbidity,DINOv2-base,Consolidation,0.882760,0.875005,0.007755
anemia,comorbidity,DINOv2-base,Edema,0.889433,0.880901,0.008532
anemia,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.757696,0.016006
anemia,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.713049,0.005751
anemia,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.873462,0.010210
anemia,comorbidity,DINOv2-base,Pneumonia,0.745943,0.739442,0.006501
anemia,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.702450,-0.000243
anemia,comorbidity,DINOv2-base,Support Devices,0.745245,0.740867,0.004378
smoking_history,comorbidity,DINOv2-base,Atelectasis,0.696113,0.697240,-0.001127
smoking_history,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.812126,0.001099
smoking_history,comorbidity,DINOv2-base,Consolidation,0.882760,0.883143,-0.000383
smoking_history,comorbidity,DINOv2-base,Edema,0.889433,0.889406,0.000027
smoking_history,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.774462,-0.000760
smoking_history,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.718008,0.000792
smoking_history,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883718,-0.000045
smoking_history,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745930,0.000013
smoking_history,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701946,0.000261
smoking_history,comorbidity,DINOv2-base,Support Devices,0.745245,0.744956,0.000289
cancer_history,comorbidity,DINOv2-base,Atelectasis,0.696113,0.696197,-0.000084
cancer_history,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.814008,-0.000783
cancer_history,comorbidity,DINOv2-base,Consolidation,0.882760,0.880759,0.002001
cancer_history,comorbidity,DINOv2-base,Edema,0.889433,0.889000,0.000433
cancer_history,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.770417,0.003285
cancer_history,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.712602,0.006198
cancer_history,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.880491,0.003182
cancer_history,comorbidity,DINOv2-base,Pneumonia,0.745943,0.746029,-0.000086
cancer_history,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701127,0.001080
cancer_history,comorbidity,DINOv2-base,Support Devices,0.745245,0.745188,0.000057
depression,comorbidity,DINOv2-base,Atelectasis,0.696113,0.697452,-0.001339
depression,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.813075,0.000149
depression,comorbidity,DINOv2-base,Consolidation,0.882760,0.882632,0.000128
depression,comorbidity,DINOv2-base,Edema,0.889433,0.888793,0.000640
depression,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.773498,0.000204
depression,comorbidity,DINOv2-base,Lung Opacity,0.718800,0.718354,0.000446
depression,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883685,-0.000012
depression,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745924,0.000019
depression,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.701056,0.001151
depression,comorbidity,DINOv2-base,Support Devices,0.745245,0.745325,-0.000080
sex,demographic,BiomedCLIP,Atelectasis,0.713849,0.714943,-0.001094
sex,demographic,BiomedCLIP,Cardiomegaly,0.851057,0.851135,-0.000078
sex,demographic,BiomedCLIP,Consolidation,0.885102,0.882541,0.002561
sex,demographic,BiomedCLIP,Edema,0.887578,0.887451,0.000127
sex,demographic,BiomedCLIP,Enlarged Cardiomediastinum,0.786235,0.786848,-0.000613
sex,demographic,BiomedCLIP,Lung Opacity,0.756644,0.756020,0.000624
sex,demographic,BiomedCLIP,Pleural Effusion,0.892533,0.893514,-0.000981
sex,demographic,BiomedCLIP,Pneumonia,0.764298,0.764314,-0.000017
sex,demographic,BiomedCLIP,Pneumothorax,0.707989,0.707838,0.000151
sex,demographic,BiomedCLIP,Support Devices,0.750065,0.749943,0.000122
age,demographic,BiomedCLIP,Atelectasis,0.713849,0.694481,0.019368
age,demographic,BiomedCLIP,Cardiomegaly,0.851057,0.821122,0.029935
age,demographic,BiomedCLIP,Consolidation,0.885102,0.881105,0.003997
age,demographic,BiomedCLIP,Edema,0.887578,0.877760,0.009818
age,demographic,BiomedCLIP,Enlarged Cardiomediastinum,0.786235,0.764466,0.021769
age,demographic,BiomedCLIP,Lung Opacity,0.756644,0.739087,0.017557
age,demographic,BiomedCLIP,Pleural Effusion,0.892533,0.873091,0.019442
age,demographic,BiomedCLIP,Pneumonia,0.764298,0.760908,0.003389
age,demographic,BiomedCLIP,Pneumothorax,0.707989,0.712943,-0.004954
age,demographic,BiomedCLIP,Support Devices,0.750065,0.748021,0.002044
bmi,demographic,BiomedCLIP,Atelectasis,0.713849,0.714691,-0.000842
bmi,demographic,BiomedCLIP,Cardiomegaly,0.851057,0.840967,0.010090
bmi,demographic,BiomedCLIP,Consolidation,0.885102,0.878491,0.006611
bmi,demographic,BiomedCLIP,Edema,0.887578,0.887699,-0.000121
bmi,demographic,BiomedCLIP,Enlarged Cardiomediastinum,0.786235,0.785241,0.000995
bmi,demographic,BiomedCLIP,Lung Opacity,0.756644,0.752743,0.003901
bmi,demographic,BiomedCLIP,Pleural Effusion,0.892533,0.890005,0.002528
bmi,demographic,BiomedCLIP,Pneumonia,0.764298,0.760014,0.004284
bmi,demographic,BiomedCLIP,Pneumothorax,0.707989,0.693926,0.014063
bmi,demographic,BiomedCLIP,Support Devices,0.750065,0.749631,0.000434
hypertension,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.711784,-0.004319
hypertension,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.840111,0.006451
hypertension,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899873,-0.000038
hypertension,comorbidity,BiomedCLIP,Edema,0.889124,0.889246,-0.000122
hypertension,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.793197,0.003492
hypertension,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.756114,0.001065
hypertension,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.888500,0.001587
hypertension,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770260,0.000485
hypertension,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.698246,0.001070
hypertension,comorbidity,BiomedCLIP,Support Devices,0.762927,0.761718,0.001209
heart_failure,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.693615,0.013850
heart_failure,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.780763,0.065799
heart_failure,comorbidity,BiomedCLIP,Consolidation,0.899835,0.892697,0.007137
heart_failure,comorbidity,BiomedCLIP,Edema,0.889124,0.858625,0.030498
heart_failure,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.772625,0.024064
heart_failure,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.745284,0.011895
heart_failure,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.873791,0.016297
heart_failure,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.766100,0.004644
heart_failure,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.698035,0.001280
heart_failure,comorbidity,BiomedCLIP,Support Devices,0.762927,0.760130,0.002796
atrial_fibrillation,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.693214,0.014251
atrial_fibrillation,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.797862,0.048699
atrial_fibrillation,comorbidity,BiomedCLIP,Consolidation,0.899835,0.890630,0.009205
atrial_fibrillation,comorbidity,BiomedCLIP,Edema,0.889124,0.873955,0.015169
atrial_fibrillation,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.779298,0.017391
atrial_fibrillation,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.746675,0.010505
atrial_fibrillation,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.870844,0.019243
atrial_fibrillation,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.766744,0.004000
atrial_fibrillation,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.699609,-0.000294
atrial_fibrillation,comorbidity,BiomedCLIP,Support Devices,0.762927,0.752487,0.010440
coronary_artery_disease,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.702731,0.004734
coronary_artery_disease,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.820810,0.025751
coronary_artery_disease,comorbidity,BiomedCLIP,Consolidation,0.899835,0.898890,0.000944
coronary_artery_disease,comorbidity,BiomedCLIP,Edema,0.889124,0.880784,0.008340
coronary_artery_disease,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.790474,0.006215
coronary_artery_disease,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.753281,0.003899
coronary_artery_disease,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.883871,0.006217
coronary_artery_disease,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770482,0.000262
coronary_artery_disease,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.697848,0.001467
coronary_artery_disease,comorbidity,BiomedCLIP,Support Devices,0.762927,0.765653,-0.002727
stroke,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.711614,-0.004148
stroke,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.844176,0.002385
stroke,comorbidity,BiomedCLIP,Consolidation,0.899835,0.900180,-0.000345
stroke,comorbidity,BiomedCLIP,Edema,0.889124,0.886875,0.002249
stroke,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.795181,0.001508
stroke,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.756827,0.000353
stroke,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.889883,0.000205
stroke,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770596,0.000148
stroke,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.699455,-0.000140
stroke,comorbidity,BiomedCLIP,Support Devices,0.762927,0.758438,0.004489
diabetes,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.704664,0.002801
diabetes,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.830720,0.015842
diabetes,comorbidity,BiomedCLIP,Consolidation,0.899835,0.901188,-0.001353
diabetes,comorbidity,BiomedCLIP,Edema,0.889124,0.885385,0.003739
diabetes,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.792260,0.004429
diabetes,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.757810,-0.000631
diabetes,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.889452,0.000635
diabetes,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.771865,-0.001121
diabetes,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.693271,0.006044
diabetes,comorbidity,BiomedCLIP,Support Devices,0.762927,0.763714,-0.000787
hyperlipidemia,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.704724,0.002741
hyperlipidemia,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.827578,0.018983
hyperlipidemia,comorbidity,BiomedCLIP,Consolidation,0.899835,0.900725,-0.000890
hyperlipidemia,comorbidity,BiomedCLIP,Edema,0.889124,0.885825,0.003299
hyperlipidemia,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.789706,0.006983
hyperlipidemia,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.753707,0.003472
hyperlipidemia,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.886921,0.003167
hyperlipidemia,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770914,-0.000170
hyperlipidemia,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.697380,0.001936
hyperlipidemia,comorbidity,BiomedCLIP,Support Devices,0.762927,0.762970,-0.000044
obesity,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.710440,-0.002975
obesity,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.834419,0.012142
obesity,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899227,0.000608
obesity,comorbidity,BiomedCLIP,Edema,0.889124,0.888498,0.000625
obesity,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.791996,0.004693
obesity,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.757323,-0.000143
obesity,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.889985,0.000102
obesity,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.769545,0.001199
obesity,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.691539,0.007776
obesity,comorbidity,BiomedCLIP,Support Devices,0.762927,0.762000,0.000926
hypothyroidism,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.708817,-0.001352
hypothyroidism,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.843779,0.002782
hypothyroidism,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899593,0.000242
hypothyroidism,comorbidity,BiomedCLIP,Edema,0.889124,0.885976,0.003148
hypothyroidism,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.795726,0.000963
hypothyroidism,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.756479,0.000700
hypothyroidism,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.887861,0.002226
hypothyroidism,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.768941,0.001803
hypothyroidism,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.699218,0.000098
hypothyroidism,comorbidity,BiomedCLIP,Support Devices,0.762927,0.762178,0.000748
ckd,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.701595,0.005870
ckd,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.817239,0.029322
ckd,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899375,0.000460
ckd,comorbidity,BiomedCLIP,Edema,0.889124,0.877769,0.011355
ckd,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.786905,0.009784
ckd,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.755719,0.001460
ckd,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.882772,0.007316
ckd,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.769646,0.001099
ckd,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.697465,0.001851
ckd,comorbidity,BiomedCLIP,Support Devices,0.762927,0.761891,0.001035
aki,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.699062,0.008403
aki,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.827149,0.019413
aki,comorbidity,BiomedCLIP,Consolidation,0.899835,0.890711,0.009124
aki,comorbidity,BiomedCLIP,Edema,0.889124,0.873705,0.015419
aki,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.785091,0.011598
aki,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.750162,0.007017
aki,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.877122,0.012966
aki,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.764793,0.005952
aki,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.698570,0.000746
aki,comorbidity,BiomedCLIP,Support Devices,0.762927,0.753871,0.009055
copd,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.705596,0.001869
copd,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.842835,0.003726
copd,comorbidity,BiomedCLIP,Consolidation,0.899835,0.895495,0.004340
copd,comorbidity,BiomedCLIP,Edema,0.889124,0.881974,0.007150
copd,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.790575,0.006114
copd,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.745069,0.012111
copd,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.886864,0.003224
copd,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.768096,0.002648
copd,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.699824,-0.000509
copd,comorbidity,BiomedCLIP,Support Devices,0.762927,0.761641,0.001286
asthma,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.709978,-0.002513
asthma,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.846736,-0.000174
asthma,comorbidity,BiomedCLIP,Consolidation,0.899835,0.899362,0.000473
asthma,comorbidity,BiomedCLIP,Edema,0.889124,0.888875,0.000249
asthma,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.796674,0.000015
asthma,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.756889,0.000291
asthma,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.889663,0.000425
asthma,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770579,0.000165
asthma,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.698562,0.000753
asthma,comorbidity,BiomedCLIP,Support Devices,0.762927,0.761415,0.001512
respiratory_failure,comorbidity,BiomedCLIP,Atelectasis,0.707465,0.710466,-0.003000
respiratory_failure,comorbidity,BiomedCLIP,Cardiomegaly,0.846561,0.840519,0.006042
respiratory_failure,comorbidity,BiomedCLIP,Consolidation,0.899835,0.895256,0.004579
respiratory_failure,comorbidity,BiomedCLIP,Edema,0.889124,0.883600,0.005524
respiratory_failure,comorbidity,BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.792619,0.004070
respiratory_failure,comorbidity,BiomedCLIP,Lung Opacity,0.757180,0.752201,0.004978
respiratory_failure,comorbidity,BiomedCLIP,Pleural Effusion,0.890088,0.886809,0.003278
respiratory_failure,comorbidity,BiomedCLIP,Pneumonia,0.770744,0.770126,0.000618
respiratory_failure,comorbidity,BiomedCLIP,Pneumothorax,0.699315,0.699200,0.000116
respiratory_failure,comorbidity,BiomedCLIP,Support Devices,0.762927,0.761100,0.001827
