attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank
age,demographic,ResNet50-ImageNet,Support Devices,0.680371,0.675675,0.004696,0.1340228068729766,0.1340228068729766,1.143418897156819,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Atelectasis,0.616978,0.617082,-0.000104,0.0614559170400696,0.0614559170400696,1.0633836183981034,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Cardiomegaly,0.782652,0.771739,0.010913,0.412825933375067,0.412825933375067,1.5110819741011567,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Consolidation,0.800031,0.792096,0.007935,-0.3136121607888581,0.3136121607888581,0.7308024070321975,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Edema,0.858816,0.85902,-0.000205,-0.0805015515565794,0.0805015515565794,0.922653472033581,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.664323,0.66228,0.002044,0.2137440416535835,0.2137440416535835,1.2383056595574162,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Lung Opacity,0.646126,0.644248,0.001878,-0.2190900746226627,0.2190900746226627,0.8032493625117395,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Pleural Effusion,0.850925,0.849259,0.001666,-0.3876713051769026,0.3876713051769026,0.678635370541208,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Pneumonia,0.710925,0.707145,0.00378,-0.2359354690025975,0.2359354690025975,0.7898316409118782,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Pneumothorax,0.672481,0.658869,0.013612,-0.7350128476946501,0.7350128476946501,0.4794992984747483,109.3609803716064,0.0533989161970734,4.694654157002491
bmi,demographic,ResNet50-ImageNet,Support Devices,0.680371,0.680223,0.000149,-0.0130015835618326,0.0130015835618326,0.9870825719127634,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.64573,-0.000516,0.0456277946210656,0.0456277946210656,1.046684756749229,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.779751,0.005486,0.1664784731850873,0.1664784731850873,1.1811381094552311,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.826254,-0.000204,-0.1381276365122958,0.1381276365122958,0.8709875148421855,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.867407,0.000307,0.0125513565533141,0.0125513565533141,1.012630455415224,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.698209,0.00557,0.0846621426436415,0.0846621426436415,1.0883492977586409,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.645271,0.001792,-0.0059008121946908,0.0059008121946908,0.9941165634040734,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.847859,0.00214,0.0655031712254609,0.0655031712254609,1.0676961232132598,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722953,0.000112,-0.0331757627671613,0.0331757627671613,0.9673685172784546,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.67589,0.000884,-0.2501691574471139,0.2501691574471139,0.7786690542608989,109.3609803716064,0.0533989161970734,4.694654157002491
hypertension,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697197,0.002101,0.0962507354521104,0.0962507354521104,1.1010350979198535,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.635632,0.009582,0.0087596251221823,0.0087596251221823,1.0087981029065851,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.712444,0.072792,1.2062290063068948,1.2062290063068948,3.34086249706636,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.820566,0.005484,0.0917185603870727,0.0917185603870727,1.096056305006163,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.83465,0.033064,0.7804684845514592,0.7804684845514592,2.182494490983752,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.672697,0.031083,0.1880263445670709,0.1880263445670709,1.2068653092748909,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.638792,0.008272,0.1485808013586443,0.1485808013586443,1.160186538635784,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.834095,0.015904,0.6017826732585939,0.6017826732585939,1.825369939848643,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.718343,0.004722,0.1164205862508653,0.1164205862508653,1.123468288095718,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.67557,0.001204,-0.4585053150257679,0.4585053150257679,0.6322279212078953,109.3609803716064,0.0533989161970734,4.694654157002491
heart_failure,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.692969,0.006329,0.2336490585502311,0.2336490585502311,1.2632011047837532,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.634763,0.010451,0.1223346363891818,0.1223346363891818,1.1301322218764451,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.73288,0.052356,1.0003571010114702,1.0003571010114702,2.7192527029892704,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.817525,0.008525,0.2352860418770023,0.2352860418770023,1.2652706373636606,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.850514,0.0172,0.5411052036055591,0.5411052036055591,1.7179044475720608,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.680352,0.023427,0.2115880239273556,0.2115880239273556,1.2356387266153546,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.638363,0.0087,0.1600100317063365,0.1600100317063365,1.1735226433672992,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.829276,0.020723,0.7091316019844729,0.7091316019844729,2.032225711383964,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.720906,0.002159,0.0979030286776571,0.0979030286776571,1.102855834534394,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676877,-0.000103,-0.1459901031462897,0.1459901031462897,0.864166255669335,109.3609803716064,0.0533989161970734,4.694654157002491
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.691587,0.007711,0.2506802578863452,0.2506802578863452,1.284899182262978,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.641536,0.003678,0.0520967671864346,0.0520967671864346,1.0534776796522318,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.75702,0.028217,0.708048725871336,0.708048725871336,2.030026253789577,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.825389,0.000661,-0.0909413150178221,0.0909413150178221,0.913071292899572,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.858079,0.009635,0.4027132321084208,0.4027132321084208,1.495877860410239,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.696191,0.007589,0.1157409210153474,0.1157409210153474,1.1227049651884986,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.643538,0.003526,0.0827069711319374,0.0827069711319374,1.086223467075875,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.844521,0.005478,0.3456916375165987,0.3456916375165987,1.412966842668516,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.723144,-7.9e-05,0.0108084529360288,0.0108084529360288,1.010867075278704,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.675766,0.001008,-0.3665873234284335,0.3665873234284335,0.6930956103549905,109.3609803716064,0.0533989161970734,4.694654157002491
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.699196,0.000102,-0.0282394757696413,0.0282394757696413,0.9721555312290684,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.64531,-9.6e-05,-0.1235901274875967,0.1235901274875967,0.8837419882095873,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.782675,0.002562,0.3044295611652352,0.3044295611652352,1.3558513521015356,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.826624,-0.000574,0.0495910128637399,0.0495910128637399,1.050841227932208,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.865742,0.001972,0.296866753647862,0.296866753647862,1.3456359864154637,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.703209,0.00057,0.051343662549528,0.051343662549528,1.0526845994004996,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.648406,-0.001343,-0.0137124396071137,0.0137124396071137,0.9863811476347084,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.849599,0.0004,0.0772966505697884,0.0772966505697884,1.0803625190173514,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722963,0.000102,0.06991390410417,0.06991390410417,1.0724158466764375,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.67681,-3.5e-05,-0.4929003602580865,0.4929003602580865,0.6108521311823895,109.3609803716064,0.0533989161970734,4.694654157002491
stroke,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.695339,0.003959,0.5221210435219888,0.5221210435219888,1.6855990898000912,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.643113,0.002101,-0.0062541409777377,0.0062541409777377,0.993765375454578,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.76751,0.017726,0.5136832438891021,0.5136832438891021,1.6714361783524885,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.827462,-0.001411,-0.1739315975452755,0.1739315975452755,0.8403543779948043,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.862608,0.005106,0.2846926017684263,0.2846926017684263,1.3293533244462272,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.700337,0.003442,0.0822160603223693,0.0822160603223693,1.0856903590992215,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.647767,-0.000704,0.0118020404813917,0.0118020404813917,1.0118719593521983,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.849247,0.000752,0.0634489906068962,0.0634489906068962,1.0655051336450272,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.72445,-0.001385,-0.028727566477379,0.028727566477379,0.9716811469285022,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.671311,0.005464,-0.5198256003862242,0.5198256003862242,0.594624241165906,109.3609803716064,0.0533989161970734,4.694654157002491
diabetes,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697806,0.001492,0.137432146215895,0.137432146215895,1.1473238530657706,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.644335,0.000879,0.0286123523652562,0.0286123523652562,1.0290256178021135,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.765808,0.019428,0.5658881335624747,0.5658881335624747,1.7610111014642342,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.826647,-0.000597,-0.2218341129377795,0.2218341129377795,0.801048236852147,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.863301,0.004413,0.1903498859636209,0.1903498859636209,1.209672771144901,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.695617,0.008162,0.1492647161734789,0.1492647161734789,1.160980278791916,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.645936,0.001127,0.0481774549775076,0.0481774549775076,1.0493568523998231,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.848165,0.001834,0.145897353248621,0.145897353248621,1.1570774117174911,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.723904,-0.000839,-0.0193084300281414,0.0193084300281414,0.980876783729046,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.674884,0.001891,-0.2832150419603655,0.2832150419603655,0.7533577669086375,109.3609803716064,0.0533989161970734,4.694654157002491
hyperlipidemia,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697551,0.001747,-0.0558651402735788,0.0558651402735788,0.9456666596382984,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.645406,-0.000192,0.0909014070413521,0.0909014070413521,1.095161024769867,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.771744,0.013493,0.5851434736877964,0.5851434736877964,1.7952485380917294,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.825691,0.000359,-0.2925763396980491,0.2925763396980491,0.7463382676230973,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.866768,0.000946,0.0855558824529532,0.0855558824529532,1.0893224336528524,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.699445,0.004334,0.303213508321431,0.303213508321431,1.3542035673087882,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.647602,-0.000539,-0.0464015489564103,0.0464015489564103,0.954658543073394,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.850537,-0.000537,-0.1492157838722967,0.1492157838722967,0.8613832222361347,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722527,0.000538,-0.1465052560700078,0.1465052560700078,0.8637211925437763,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.669302,0.007473,-0.6926880351088328,0.6926880351088328,0.5002296254372597,109.3609803716064,0.0533989161970734,4.694654157002491
obesity,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.698762,0.000536,0.1358836717839678,0.1358836717839678,1.145548626215568,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.646389,-0.001175,-0.0149512494624279,0.0149512494624279,0.9851599655103218,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.781765,0.003471,0.2717396211413135,0.2717396211413135,1.3122452758967476,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.826115,-6.5e-05,-0.0113738391242973,0.0113738391242973,0.9886905984516636,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.863472,0.004242,0.1741812810992103,0.1741812810992103,1.1902713199569386,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.704097,-0.000317,0.0091843621061483,0.0091843621061483,1.0092266677774768,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.646915,0.000148,0.049772076710199,0.049772076710199,1.0510315145134457,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.847958,0.002041,0.2325017701957904,0.2325017701957904,1.261752679906292,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.721636,0.001429,0.0171793377485595,0.0171793377485595,1.0173277512350103,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676491,0.000283,-0.2355297955829837,0.2355297955829837,0.7901521196150166,109.3609803716064,0.0533989161970734,4.694654157002491
hypothyroidism,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697861,0.001437,0.2007118281134284,0.2007118281134284,1.2222724964966225,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.640633,0.004581,-0.0339777579451992,0.0339777579451992,0.9665930034129692,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.752078,0.033159,0.8242065116207039,0.8242065116207039,2.280070837632337,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.825814,0.000236,-0.0130710667993323,0.0130710667993323,0.9870139886027102,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.854557,0.013158,0.4681650000130387,0.4681650000130387,1.5970608960169197,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.694478,0.009301,0.1853354673741407,0.1853354673741407,1.2036221483700087,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.645373,0.00169,0.1012207951180673,0.1012207951180673,1.1065209292129026,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.843615,0.006385,0.3884110573869643,0.3884110573869643,1.4746358196687053,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722877,0.000188,0.0637929463086557,0.0637929463086557,1.0658716832457973,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.674911,0.001863,-0.3998071358136773,0.3998071358136773,0.6704493392335067,109.3609803716064,0.0533989161970734,4.694654157002491
ckd,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697457,0.001841,0.1354285663029736,0.1354285663029736,1.145027399372625,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.636723,0.008491,0.0590262351822611,0.0590262351822611,1.0608030707369989,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.761458,0.023778,0.5972805004767824,0.5972805004767824,1.8171702809794947,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Consolidation,0.82605,0.81483,0.01122,0.3486627728837547,0.3486627728837547,1.4171712011936606,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.848645,0.019069,0.5963737002321773,0.5963737002321773,1.8155232174158975,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.70378,0.688085,0.015695,0.1124779270795141,0.1124779270795141,1.1190475559924475,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.639593,0.007471,0.1920572780814203,0.1920572780814203,1.2117399211150752,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.835679,0.01432,0.5304654026001534,0.5304654026001534,1.699723180155026,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.715995,0.00707,0.2192049639951816,0.2192049639951816,1.2450864484289446,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.675864,0.00091,-0.3710495167477511,0.3710495167477511,0.6900097736729459,109.3609803716064,0.0533989161970734,4.694654157002491
aki,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.684991,0.014307,0.5168521298985904,0.5168521298985904,1.6767411700915515,109.3609803716064,0.0533989161970734,4.694654157002491
copd,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.644525,0.000689,-0.0711446150633008,0.0711446150633008,0.931327198446702,109.3609803716064,0.0533989161970734,4.694654157002491
