model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+
ResNet50-ImageNet,all_confounders,9,Pneumothorax,Age,0.678969,0.023427,,,0.693766,0.670339,0.672750
ResNet50-ImageNet,all_confounders,9,Support Devices,Gender,0.680105,0.013091,0.672531,0.685622,,,
ResNet50-ImageNet,all_confounders,9,Support Devices,Age,0.680105,0.060969,,,0.718989,0.676897,0.658020
DINOv2-base,baseline,0,Atelectasis,Gender,0.696113,0.039772,0.674385,0.714156,,,
DINOv2-base,baseline,0,Atelectasis,Age,0.696113,0.138959,,,0.763292,0.707633,0.624333
DINOv2-base,baseline,0,Cardiomegaly,Gender,0.813224,0.005920,0.816601,0.810682,,,
DINOv2-base,baseline,0,Cardiomegaly,Age,0.813224,0.053331,,,0.826166,0.810401,0.772835
DINOv2-base,baseline,0,Consolidation,Gender,0.882760,0.020868,0.892938,0.872070,,,
DINOv2-base,baseline,0,Consolidation,Age,0.882760,0.013376,,,0.877057,0.876160,0.889536
DINOv2-base,baseline,0,Edema,Gender,0.889433,0.003054,0.887770,0.890824,,,
DINOv2-base,baseline,0,Edema,Age,0.889433,0.032743,,,0.900537,0.899533,0.867794
DINOv2-base,baseline,0,Enlarged Cardiomediastinum,Gender,0.773702,0.029492,0.791924,0.762432,,,
DINOv2-base,baseline,0,Enlarged Cardiomediastinum,Age,0.773702,0.077712,,,0.745668,0.795349,0.717637
DINOv2-base,baseline,0,Lung Opacity,Gender,0.718800,0.017093,0.728341,0.711248,,,
DINOv2-base,baseline,0,Lung Opacity,Age,0.718800,0.063357,,,0.718104,0.740056,0.676699
DINOv2-base,baseline,0,Pleural Effusion,Gender,0.883672,0.021095,0.895579,0.874484,,,
DINOv2-base,baseline,0,Pleural Effusion,Age,0.883672,0.013933,,,0.883372,0.879139,0.869439
DINOv2-base,baseline,0,Pneumonia,Gender,0.745943,0.010103,0.740672,0.750774,,,
DINOv2-base,baseline,0,Pneumonia,Age,0.745943,0.015397,,,0.749894,0.748955,0.734498
DINOv2-base,baseline,0,Pneumothorax,Gender,0.702207,0.026737,0.718109,0.691371,,,
DINOv2-base,baseline,0,Pneumothorax,Age,0.702207,0.029165,,,0.721210,0.692045,0.704039
DINOv2-base,baseline,0,Support Devices,Gender,0.745245,0.041479,0.721744,0.763223,,,
