model,fusion,disease,auroc_mean,auroc_std,n_seeds,tier1
DINOv2-base,Late Fusion,Edema,0.8948919037857939,0.0008714530728037806,5,True
DINOv2-base,Late Fusion,Enlarged Cardiomediastinum,0.7983353560181273,0.002216953156332301,5,True
DINOv2-base,Late Fusion,Lung Opacity,0.7459598985204451,0.0010585226334793518,5,False
DINOv2-base,Late Fusion,Pleural Effusion,0.8882039594624096,0.0010243035036292278,5,True
DINOv2-base,Late Fusion,Pneumonia,0.7553843076216572,0.0019516775284791348,5,True
DINOv2-base,Late Fusion,Pneumothorax,0.7202205668556763,0.0019193556360987017,5,True
DINOv2-base,Late Fusion,Support Devices,0.7595171075874833,0.004599428094929754,5,False
DINOv2-base,Late Fusion,MEAN,0.8046161717917208,0.0005884498102283934,5,True
XRV-DenseNet-nih,CXR-Only,Atelectasis,0.713417105429807,0.0032775947128918744,5,False
XRV-DenseNet-nih,CXR-Only,Cardiomegaly,0.8160177230587852,0.0012539995101964487,5,True
XRV-DenseNet-nih,CXR-Only,Consolidation,0.8254491932779372,0.00146528709735097,5,True
XRV-DenseNet-nih,CXR-Only,Edema,0.8411357994617805,0.0008773274883967343,5,True
XRV-DenseNet-nih,CXR-Only,Enlarged Cardiomediastinum,0.7900035332974882,0.0010638407298689246,5,True
XRV-DenseNet-nih,CXR-Only,Lung Opacity,0.6978380697565344,0.0014789021098078176,5,False
XRV-DenseNet-nih,CXR-Only,Pleural Effusion,0.8202221161839596,0.001113608367711046,5,True
XRV-DenseNet-nih,CXR-Only,Pneumonia,0.7140398396306219,0.0008413889608832882,5,True
XRV-DenseNet-nih,CXR-Only,Pneumothorax,0.649951749963528,0.002761813260535731,5,True
XRV-DenseNet-nih,CXR-Only,Support Devices,0.6840977771702558,0.0019346786366792493,5,False
XRV-DenseNet-nih,CXR-Only,MEAN,0.7552172907230698,0.0006393150092710893,5,True
XRV-DenseNet-nih,Metadata-Only,Atelectasis,0.577850573256859,0.003589889749957745,5,False
XRV-DenseNet-nih,Metadata-Only,Cardiomegaly,0.7590051979804036,0.0009198227924866124,5,True
XRV-DenseNet-nih,Metadata-Only,Consolidation,0.6715263752779124,0.0032492777990584787,5,True
XRV-DenseNet-nih,Metadata-Only,Edema,0.6699529558603984,0.0009528703377859684,5,True
XRV-DenseNet-nih,Metadata-Only,Enlarged Cardiomediastinum,0.6680256036049876,0.002737712850688077,5,True
XRV-DenseNet-nih,Metadata-Only,Lung Opacity,0.5959100648104719,0.004904337192496879,5,False
XRV-DenseNet-nih,Metadata-Only,Pleural Effusion,0.6703540162466106,0.0008237996672348395,5,True
XRV-DenseNet-nih,Metadata-Only,Pneumonia,0.6005281350961399,0.0011997145264873892,5,True
XRV-DenseNet-nih,Metadata-Only,Pneumothorax,0.6426654829717598,0.004252229969400627,5,True
XRV-DenseNet-nih,Metadata-Only,Support Devices,0.6091764804845223,0.003989141684430241,5,False
XRV-DenseNet-nih,Metadata-Only,MEAN,0.6464994885590066,0.0012288188337787646,5,True
XRV-DenseNet-nih,Late Fusion,Atelectasis,0.7135350136001495,0.011121677407566387,5,False
XRV-DenseNet-nih,Late Fusion,Cardiomegaly,0.8342070801083089,0.0019114664525018857,5,True
XRV-DenseNet-nih,Late Fusion,Consolidation,0.8306198159257742,0.004445084100248113,5,True
XRV-DenseNet-nih,Late Fusion,Edema,0.8439109596189353,0.004195305782848542,5,True
XRV-DenseNet-nih,Late Fusion,Enlarged Cardiomediastinum,0.7889695573136697,0.001988437360926998,5,True
XRV-DenseNet-nih,Late Fusion,Lung Opacity,0.6998974011853495,0.003199662053934883,5,False
XRV-DenseNet-nih,Late Fusion,Pleural Effusion,0.8208636062696586,0.004935915720313903,5,True
XRV-DenseNet-nih,Late Fusion,Pneumonia,0.7148390300221343,0.005234813238680305,5,True
XRV-DenseNet-nih,Late Fusion,Pneumothorax,0.6572740051880193,0.006796833376406902,5,True
XRV-DenseNet-nih,Late Fusion,Support Devices,0.6928120794078062,0.003578494046029554,5,False
XRV-DenseNet-nih,Late Fusion,MEAN,0.7596928548639805,0.004403638189222094,5,True
BiomedCLIP,CXR-Only,Atelectasis,0.7336761415380533,0.003444893831944201,5,False
BiomedCLIP,CXR-Only,Cardiomegaly,0.8390314990486871,0.000926963133709578,5,True
BiomedCLIP,CXR-Only,Consolidation,0.9015929748729988,0.0002080103887652248,5,True
BiomedCLIP,CXR-Only,Edema,0.8851477841854513,0.0005415684476889265,5,True
BiomedCLIP,CXR-Only,Enlarged Cardiomediastinum,0.8011295286376321,0.0007378573667299139,5,True
BiomedCLIP,CXR-Only,Lung Opacity,0.7614136251225856,0.0008038968651217181,5,False
BiomedCLIP,CXR-Only,Pleural Effusion,0.8900231929859246,0.0005042938644390457,5,True
BiomedCLIP,CXR-Only,Pneumonia,0.7715774937710874,0.000938287807966233,5,True
BiomedCLIP,CXR-Only,Pneumothorax,0.7011406011868837,0.00174083153275519,5,True
BiomedCLIP,CXR-Only,Support Devices,0.7618345881000448,0.00257081381917206,5,False
BiomedCLIP,CXR-Only,MEAN,0.8046567429449348,0.0006988862706761192,5,True
BiomedCLIP,Metadata-Only,Atelectasis,0.577850573256859,0.003589889749957745,5,False
BiomedCLIP,Metadata-Only,Cardiomegaly,0.7590051979804036,0.0009198227924866124,5,True
BiomedCLIP,Metadata-Only,Consolidation,0.6715263752779124,0.0032492777990584787,5,True
