model,disease,race_group,n,auroc,brier,mean_pred,prevalence,calib_gap
ResNet50-ImageNet,Pleural Effusion,Asian,387,0.8326290933946436,0.14655314615016352,0.6839044049076793,0.6873385310173035,-0.003434126109624125
ResNet50-ImageNet,Pleural Effusion,Other,1046,0.8519071977316703,0.14815389706274026,0.6215148480231478,0.6070745587348938,0.014440289288254027
ResNet50-ImageNet,Pneumonia,White,3927,0.7262124341546984,0.20945881594652138,0.4237462874680103,0.4163483679294586,0.007397919538551678
ResNet50-ImageNet,Pneumonia,Black,872,0.7180656934306568,0.2048810637818203,0.40873538731570025,0.37155961990356445,0.037175767412135796
ResNet50-ImageNet,Pneumonia,Asian,227,0.6179547228727557,0.26458083947157285,0.46016180294203657,0.46255508065223694,-0.00239327771020037
ResNet50-ImageNet,Pneumonia,Other,541,0.7167102206736352,0.20819177297493446,0.3868386558102164,0.37892791628837585,0.00791073952184057
ResNet50-ImageNet,Pneumothorax,White,5861,0.6739208100481462,0.15228631940755033,0.19880238500022757,0.19843029975891113,0.0003720852413164333
ResNet50-ImageNet,Pneumothorax,Black,895,0.6897549043912276,0.1415005095740671,0.18553530338480118,0.18547485768795013,6.04456968510414e-05
ResNet50-ImageNet,Pneumothorax,Asian,289,0.6510641357492091,0.18010136738308832,0.24774012765108097,0.2110726684331894,0.03666745921789158
ResNet50-ImageNet,Pneumothorax,Other,653,0.7150090415913201,0.12176894097176547,0.16740796007352493,0.15313935279846191,0.014268607275063017
ResNet50-ImageNet,Support Devices,White,8281,0.6828132693965212,0.04190258134529389,0.9507291397215489,0.9591836929321289,-0.008454553210579974
ResNet50-ImageNet,Support Devices,Black,1188,0.7255007491235981,0.04851798381550491,0.949285424241579,0.9486532211303711,0.0006322031112079296
ResNet50-ImageNet,Support Devices,Asian,359,0.7318885448916409,0.0503669439224097,0.9464250443096366,0.9470751881599426,-0.0006501438503060397
ResNet50-ImageNet,Support Devices,Other,878,0.7165694682675815,0.05665751387715828,0.9491369471741624,0.9396355152130127,0.00950143196114972
DINOv2-base,Atelectasis,White,5340,0.6944648658761673,0.029310857747239526,0.9698472276748832,0.9698501825332642,-2.954858380976866e-06
DINOv2-base,Atelectasis,Black,826,0.7185626691330114,0.04331012011275105,0.9571834301842941,0.9552057981491089,0.001977632035185195
DINOv2-base,Atelectasis,Asian,197,0.5614583333333333,0.02907644219495109,0.9592685444841403,0.9746192693710327,-0.015350724886892375
DINOv2-base,Atelectasis,Other,620,0.6437799926172019,0.028312410708830577,0.9681619664239236,0.9709677696228027,-0.002805803198879131
DINOv2-base,Cardiomegaly,White,6459,0.8062226606482726,0.14463911212445446,0.7506356122266455,0.7398977875709534,0.010737824655692174
DINOv2-base,Cardiomegaly,Black,1333,0.8247857372015215,0.1247494469274803,0.7701249230342324,0.7794448733329773,-0.009319950298744883
DINOv2-base,Cardiomegaly,Asian,281,0.7740846071809456,0.17246491553083795,0.6755165500175933,0.690391480922699,-0.014874930905105721
DINOv2-base,Cardiomegaly,Other,748,0.8070020975218168,0.14766405761609835,0.7251714134830745,0.7072192430496216,0.017952170433452874
DINOv2-base,Consolidation,White,1925,0.8781852197447646,0.13733233157617164,0.6120066852968378,0.6322078108787537,-0.02020112558191589
DINOv2-base,Consolidation,Black,419,0.8545205479452055,0.15201944612934457,0.48268905121914757,0.4773269593715668,0.005362091847580797
