model,enc_sex_auroc,enc_race_auroc,enc_age_r2,enc_bmi_r2
ResNet50-ImageNet,0.9281077463105444,0.8070464690285364,0.5354878214749138,0.41978999789729443
DINOv2-base,0.9673981177725838,0.8614389598328016,0.6258516373171124,0.4816064827227111
BiomedCLIP,0.9357380074439883,0.7764813883515365,0.5164714226244045,0.46553907654575455
XRV-DenseNet-nih,0.8703588030035271,0.6938742047717209,0.33320688271149246,0.41247453799865186
